Avg F516-518;M145 in F134 medium;;;;;;;;
SYS-F-u08-17;;;;;;;;;
Offline data;;;;;;;;;
;;;;;;;;;
Sample #;TAI;CDW;Glucose;Glutamic acid;PO4;Undecylprodigiosin 2;TBP;Germicidin-A;Germicidin-B
;[h];[g/l];[g/l];[g/l];[mg/l];[ng/ml];[spec units];[ng/ml];[ng/ml]
1;1;;41,31727057;39,80209562;521,9444444;;0,004533333;;
2;17;;;;;;;;
3;18;;;;;;;;
4;19;;;;;;;;
5;20;;;;;;;;
6;21;;;;;;;;
7;22;;;;;;;;
8;23;;;;;;;;
9;24;;;;;;;;
10;25;;;;496,2222222;< 0,5;0,0112;< 0,1;3,226121748
11;26;0,406666667;;;;;;;
12;27;;41,16240459;39,869904;;;;;
13;28;;;;;;;;
14;29;;;;489,2111111;;;;
15;30;0,826666667;;;;;;;
16;31;;;;;;;;
17;32;;;;;;;;
18;33;;40,64964588;36,81914901;442,4888889;;;;
19;34;1,615555556;;;;;;;
20;35;;;;;;;;
21;36;;;;;;;;
22;37;;40,19896229;34,44311618;378,3888889;;;;
23;38;2,248888889;;;;;;;
24;39;;;;;;;;
25;40;;;;;;;;
26;41;;39,67247001;30,955985;274,3402778;;;;
27;42;3,184444444;;;;;;;
28;43;;;;;;;;
29;44;;;;;;;;
30;45;;;;111,6361111;< 0,5;0,019733333;17,23364146;69,83654434
31;46;3,688888889;;;;;;;
32;47;;;;25,82142857;;;;
33;48;;;;;;;;
34;49;;37,31042601;22,27987071;1,098214286;;;;
35;50;4,733333333;;;;;;;
36;51;;;;;;;;
37;52;;;;;;;;
38;53;;;;-6,764583333;;;;
39;54;4,868888889;;;;;;;
40;55;;;;;;;;
41;56;;;;;;;;
42;57;4,72;34,48555374;14,96806417;8,136904762;;;;
43;58;;;;;;;;
44;59;;;;;;;;
45;60;;;;;;;;
46;61;4,693333333;;;;;;;
47;62;;;;;;;;
48;63;;;;;;;;
49;64;;;;;;;;
50;65;4,562222222;33,27276592;10,63577178;-13,03125;< 0,5;0,016266667;74,34806445;344,0598303
51;69;;;;;;;;
52;73;4,442222222;;;5,464285714;;;;
