N;  Carbon source;  Nitrogen source; Carbon exchange reactions; Nitrogen exchange reactions; In vivo growth
1;  Acetate;        Ammonium;        EX_ac_e;                   EX_nh4_e;                     True  
2;  Cellobiose;     Ammonium;        EX_cellb_e;                EX_nh4_e;                     True  
3;  Citrate;        Ammonium;        EX_cit_e;                  EX_nh4_e;                     True  
4;  D-arabinotol;   Ammonium;        EX_abt__D_e;               EX_nh4_e;                     True  
5;  D-fructose;     Ammonium;        EX_fru_e;                  EX_nh4_e;                     True  
6;  D-galactose;    Ammonium;        EX_gal_e;                  EX_nh4_e;                     True  
7;  D-gluconate;    Ammonium;        EX_glcn_e;                 EX_nh4_e;                     True  
8;  D-glucose;      Ammonium;        EX_glc__D_e;               EX_nh4_e;                     True  
9;  D-mannitol;     Ammonium;        EX_mnl_e;                  EX_nh4_e;                     True  
10; D-mannose;      Ammonium;        EX_man_e;                  EX_nh4_e;                     True  
11; D-ribose;       Ammonium;        EX_rib__D_e;               EX_nh4_e;                     True  
12; D-tartrate;     Ammonium;        EX_tartr__D_e;             EX_nh4_e;                     True  
13; D-xylose;       Ammonium;        EX_xyl__D_e;               EX_nh4_e;                     True  
14; Glycerol;       Ammonium;        EX_glyc_e;                 EX_nh4_e;                     True  
15; Glycine;        Ammonium;        EX_gly_e;                  EX_nh4_e;                     True  
16; Lactose;        Ammonium;        EX_lcts_e;                 EX_nh4_e;                     True  
17; L-alanine;      Ammonium;        EX_ala__L_e;               EX_nh4_e;                     True  
18; L-arabinose;    Ammonium;        EX_arab__L_e;              EX_nh4_e;                     True  
19; L-arginine;     Ammonium;        EX_arg__L_e;               EX_nh4_e;                     False 
20; L-asparagine;   Ammonium;        EX_asn__L_e;               EX_nh4_e;                     True  
21; L-aspartate;    Ammonium;        EX_asp__L_e;               EX_nh4_e;                     False  
22; L-glutamate;    Ammonium;        EX_glu__L_e;               EX_nh4_e;                     True  
23; L-glutamine;    Ammonium;        EX_gln__L_e;               EX_nh4_e;                     False  
24; L-histidine;    Ammonium;        EX_his__L_e;               EX_nh4_e;                     True  
25; L-isoleucine;   Ammonium;        EX_ile__L_e;               EX_nh4_e;                     True  
26; L-lactate;      Ammonium;        EX_lac__L_e;               EX_nh4_e;                     True  
27; L-leucine;      Ammonium;        EX_leu__L_e;               EX_nh4_e;                     True  
28; L-lysine;       Ammonium;        EX_lys__L_e;               EX_nh4_e;                     True  
29; L-malate;       Ammonium;        EX_mal__L_e;               EX_nh4_e;                     True  
30; L-methionine;   Ammonium;        EX_met__L_e;               EX_nh4_e;                     False 
31; L-phenylalanine;Ammonium;        EX_phe__L_e;               EX_nh4_e;                     False 
32; L-proline;      Ammonium;        EX_pro__L_e;               EX_nh4_e;                     True  
33; L-rhamnose;     Ammonium;        EX_rmn_e;                  EX_nh4_e;                     True  
34; L-serine;       Ammonium;        EX_ser__L_e;               EX_nh4_e;                     True  
35; L-threonine;    Ammonium;        EX_thr__L_e;               EX_nh4_e;                     True  
36; L-tryptophan;   Ammonium;        EX_trp__L_e;               EX_nh4_e;                     True  
37; L-valine;       Ammonium;        EX_val__L_e;               EX_nh4_e;                     True  
38; Maltose;        Ammonium;        EX_malt_e;                 EX_nh4_e;                     True  
39; Melibiose;      Ammonium;        EX_melib_e;                EX_nh4_e;                     True  
40; Propionate;     Ammonium;        EX_ppa_e;                  EX_nh4_e;                     True  
41; Pyruvate;       Ammonium;        EX_pyr_e;                  EX_nh4_e;                     True  
42; Salicin;        Ammonium;        EX_salcn_e;                EX_nh4_e;                     True  
43; Succinate;      Ammonium;        EX_succ_e;                 EX_nh4_e;                     True  
44; Sucrose;        Ammonium;        EX_sucr_e;                 EX_nh4_e;                     False 
45; Trehalose;      Ammonium;        EX_tre_e;                  EX_nh4_e;                     True  
46; Xylitol;        Ammonium;        EX_xylt_e;                 EX_nh4_e;                     True
47; D-glucose;      L-asparagine;     EX_glc__D_e;              EX_asn__L_e;                  True
48; D-glucose;      L-aspartate;      EX_glc__D_e;              EX_asp__L_e;                  True
49; D-glucose;      L-glutamate;      EX_glc__D_e;              EX_glu__L_e;                  True
50; D-glucose;      L-glutamine;      EX_glc__D_e;              EX_gln__L_e;                  True
51; D-glucose;      L-isoleucine;     EX_glc__D_e;              EX_ile__L_e;                  True
52; D-glucose;      L-leucine;        EX_glc__D_e;              EX_leu__L_e;                  True
53; D-glucose;      L-lysine;         EX_glc__D_e;              EX_lys__L_e;                  True
54; D-glucose;      L-methionine;     EX_glc__D_e;              EX_met__L_e;                  True
55; D-glucose;      L-phenylalanine;  EX_glc__D_e;              EX_phe__L_e;                  True
56; D-glucose;      L-proline;        EX_glc__D_e;              EX_pro__L_e;                  True
57; D-glucose;      L-valine;         EX_glc__D_e;              EX_val__L_e;                  True
