TAI,Estimated growth rate,FBA growth rate,Carbon balance
33,0.1405,0.2440,0.5577
41,0.0661,0.0543,0.2632
45,0.0523,0.1011,0.4270
49,0.0433,0.1055,0.4587
53,0.0070,0.1208,0.5404
57,-0.0048,0.0324,0.2629
61,-0.0049,0.0472,0.3751
65,-0.0050,0.0506,0.3939
