rxns	MEAN_M145_21	MEAN_M145_29	MEAN_M145_33	MEAN_M145_37	MEAN_M145_41	MEAN_M145_45	MEAN_M145_49	MEAN_M145_53	MEAN_M145_57	MEAN_M1152_33	MEAN_M1152_41	MEAN_M1152_45	MEAN_M1152_49	MEAN_M1152_53	MEAN_M1152_57	MEAN_M1152_61	MEAN_M1152_65	STDEV_M145_21	STDEV_M145_29	STDEV_M145_33	STDEV_M145_37	STDEV_M145_41	STDEV_M145_45	STDEV_M145_49	STDEV_M145_53	STDEV_M145_57	STDEV_M1152_33	STDEV_M1152_41	STDEV_M1152_45	STDEV_M1152_49	STDEV_M1152_53	STDEV_M1152_57	STDEV_M1152_61	STDEV_M1152_65
23LGALAC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24DHX5M6OI	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2K3DRHAM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2OGLUAH	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2OH3EDISO	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
38DPCLOR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3DM4HXPPO	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3DMA4HMO	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3HAD100	6.007592e-04	5.755045e-04	5.371718e-04	7.005904e-05	6.697762e-05	7.062794e-05	2.928862e-05	2.910671e-05	3.319325e-05	5.350930e-04	4.779380e-04	3.885534e-04	3.241336e-04	5.955578e-05	6.682889e-05	7.725778e-05	7.923235e-05	7.876158e-10	1.945245e-07	3.163458e-07	1.966681e-06	1.745529e-06	1.824352e-06	1.049072e-06	9.883759e-07	1.152000e-06	1.712030e-11	1.465929e-07	8.615108e-07	1.103188e-06	2.033710e-06	1.593113e-06	1.725388e-06	2.057564e-06
3HAD110	2.437648e-05	2.335175e-05	2.179600e-05	2.842347e-06	2.717690e-06	2.865504e-06	1.188107e-06	1.181031e-06	1.346842e-06	2.171200e-05	1.939288e-05	1.576599e-05	1.315209e-05	2.416543e-06	2.711658e-06	3.134822e-06	3.214942e-06	2.525057e-18	7.893192e-09	1.190026e-08	7.962402e-08	7.082787e-08	7.363991e-08	4.219590e-08	4.008818e-08	4.674665e-08	6.946755e-13	5.948173e-09	3.495678e-08	4.476311e-08	8.252010e-08	6.464234e-08	7.000956e-08	8.348799e-08
3HAD120	4.859804e-04	4.655508e-04	4.345402e-04	5.667388e-05	5.418110e-05	5.713359e-05	2.369163e-05	2.354566e-05	2.685152e-05	4.328601e-04	3.866250e-04	3.143178e-04	2.622058e-04	4.817728e-05	5.406082e-05	6.249720e-05	6.409451e-05	6.041846e-10	1.573615e-07	2.552843e-07	1.589962e-06	1.412045e-06	1.474335e-06	8.482412e-07	7.995165e-07	9.318825e-07	1.384936e-11	1.185854e-07	6.969138e-07	8.924173e-07	1.645157e-06	1.288738e-06	1.395742e-06	1.664454e-06
3HAD121	1.147788e-04	1.099537e-04	1.026317e-04	1.338517e-05	1.279652e-05	1.349435e-05	5.596989e-06	5.561053e-06	6.341729e-06	1.022329e-04	9.131304e-05	7.423554e-05	6.192775e-05	1.137850e-05	1.276808e-05	1.476058e-05	1.513783e-05	5.082509e-10	3.716343e-08	7.558642e-08	3.773614e-07	3.334867e-07	3.513075e-07	2.033170e-07	1.888639e-07	2.201171e-07	3.270940e-12	2.800749e-08	1.645970e-07	2.107710e-07	3.885530e-07	3.043741e-07	3.296461e-07	3.931105e-07
3HAD130	2.437648e-05	2.335175e-05	2.179600e-05	2.842347e-06	2.717690e-06	2.865504e-06	1.188107e-06	1.181031e-06	1.346842e-06	2.171200e-05	1.939288e-05	1.576599e-05	1.315209e-05	2.416543e-06	2.711658e-06	3.134822e-06	3.214942e-06	2.472520e-18	7.893192e-09	1.190026e-08	7.962402e-08	7.082787e-08	7.363991e-08	4.219590e-08	4.008818e-08	4.674665e-08	6.946755e-13	5.948173e-09	3.495678e-08	4.476311e-08	8.252010e-08	6.464234e-08	7.000956e-08	8.348799e-08
3HAD140	4.859803e-04	4.655508e-04	4.345348e-04	5.666628e-05	5.418107e-05	5.712795e-05	2.368664e-05	2.354555e-05	2.685124e-05	4.328601e-04	3.866250e-04	3.143178e-04	2.622058e-04	4.817728e-05	5.406082e-05	6.249720e-05	6.409451e-05	5.852599e-17	1.573622e-07	2.372489e-07	1.587420e-06	1.412056e-06	1.468118e-06	8.412361e-07	7.992158e-07	9.319619e-07	1.384936e-11	1.185854e-07	6.969138e-07	8.924173e-07	1.645157e-06	1.288738e-06	1.395742e-06	1.664454e-06
3HAD141	1.147788e-04	1.099537e-04	1.026317e-04	1.338517e-05	1.279652e-05	1.349435e-05	5.596989e-06	5.561053e-06	6.341729e-06	1.022329e-04	9.131304e-05	7.423554e-05	6.192775e-05	1.137850e-05	1.276808e-05	1.476058e-05	1.513783e-05	5.082509e-10	3.716343e-08	7.558642e-08	3.773614e-07	3.334867e-07	3.513075e-07	2.033170e-07	1.888639e-07	2.201171e-07	3.270940e-12	2.800749e-08	1.645970e-07	2.107710e-07	3.885530e-07	3.043741e-07	3.296461e-07	3.931105e-07
3HAD150	2.437648e-05	2.335175e-05	2.179600e-05	2.842347e-06	2.717690e-06	2.865504e-06	1.188107e-06	1.181031e-06	1.346842e-06	2.171200e-05	1.939288e-05	1.576599e-05	1.315209e-05	2.416543e-06	2.711658e-06	3.134822e-06	3.214942e-06	2.472803e-18	7.893192e-09	1.190026e-08	7.962402e-08	7.082787e-08	7.363991e-08	4.219590e-08	4.008818e-08	4.674665e-08	6.946755e-13	5.948173e-09	3.495678e-08	4.476311e-08	8.252010e-08	6.464234e-08	7.000956e-08	8.348799e-08
3HAD160	4.468857e-04	4.280996e-04	3.995787e-04	5.210776e-05	4.982248e-05	5.253230e-05	2.178117e-05	2.165143e-05	2.469120e-05	3.980387e-04	3.555229e-04	2.890325e-04	2.411127e-04	4.430166e-05	4.971190e-05	5.746961e-05	5.893843e-05	4.424748e-17	1.447032e-07	2.181634e-07	1.459720e-06	1.298463e-06	1.350015e-06	7.735629e-07	7.349229e-07	8.569902e-07	1.273525e-11	1.090458e-07	6.408506e-07	8.206268e-07	1.512813e-06	1.185066e-06	1.283461e-06	1.530557e-06
