Time [h],Sample ID,Strain,Compound,Concentration [ng/ml]
17,F516-P2,M145,Germicidin A,0
21,F516-P6,M145,Germicidin A,0
33,F516-P18,M145,Germicidin A,6.7
37,F516-P22 ,M145,Germicidin A,17.5
41,F516-P26,M145,Germicidin A,76.4
45,F516-P30 ,M145,Germicidin A,227.1
49,F516-P34 ,M145,Germicidin A,489.5
53,F516-P38 ,M145,Germicidin A,718.6
57,F516-P42 ,M145,Germicidin A,1016.1
65,F516-P50 ,M145,Germicidin A,1469.5
17,F517-P2,M145,Germicidin A,0
21,F517-P6,M145,Germicidin A,0
33,F517-P18,M145,Germicidin A,7.8
37,F517-P22 ,M145,Germicidin A,19.9
41,F517-P26,M145,Germicidin A,91.8
45,F517-P30 ,M145,Germicidin A,259.2
49,F517-P34 ,M145,Germicidin A,513.1
53,F517-P38 ,M145,Germicidin A,782
57,F517-P42 ,M145,Germicidin A,1064.4
65,F517-P50 ,M145,Germicidin A,1547.5
17,F518-P2,M145,Germicidin A,0
21,F518-P6,M145,Germicidin A,0
33,F518-P18,M145,Germicidin A,8.2
37,F518-P22 ,M145,Germicidin A,21.4
41,F518-P26,M145,Germicidin A,111.8
45,F518-P30 ,M145,Germicidin A,286.3
49,F518-P34 ,M145,Germicidin A,563.7
53,F518-P38 ,M145,Germicidin A,825.8
57,F518-P42 ,M145,Germicidin A,1103.2
65,F518-P50 ,M145,Germicidin A,1534.3
17,F516-P2,M145,Germicidin B,0
21,F516-P6,M145,Germicidin B,0
33,F516-P18,M145,Germicidin B,15.8
37,F516-P22 ,M145,Germicidin B,40.2
41,F516-P26,M145,Germicidin B,148.6
45,F516-P30 ,M145,Germicidin B,347.8
49,F516-P34 ,M145,Germicidin B,676.2
53,F516-P38 ,M145,Germicidin B,982.8
57,F516-P42 ,M145,Germicidin B,1283.1
65,F516-P50 ,M145,Germicidin B,1917.3
17,F517-P2,M145,Germicidin B,0
21,F517-P6,M145,Germicidin B,3.1
33,F517-P18,M145,Germicidin B,19.5
37,F517-P22 ,M145,Germicidin B,47.5
41,F517-P26,M145,Germicidin B,182.7
45,F517-P30 ,M145,Germicidin B,429.3
49,F517-P34 ,M145,Germicidin B,721.3
53,F517-P38 ,M145,Germicidin B,1148.1
57,F517-P42 ,M145,Germicidin B,1416.2
65,F517-P50 ,M145,Germicidin B,2089.6
17,F518-P2,M145,Germicidin B,0
21,F518-P6,M145,Germicidin B,0
33,F518-P18,M145,Germicidin B,18.9
37,F518-P22 ,M145,Germicidin B,49
41,F518-P26,M145,Germicidin B,219.4
45,F518-P30 ,M145,Germicidin B,496.4
49,F518-P34 ,M145,Germicidin B,862.8
53,F518-P38 ,M145,Germicidin B,1260.8
57,F518-P42 ,M145,Germicidin B,1603.8
65,F518-P50 ,M145,Germicidin B,2238.2
25,F519-P10,M1152,Germicidin A,0
29,F519-P14 ,M1152,Germicidin A,2.621426832
33,F519-P18 ,M1152,Germicidin A,4.649181864
37,F519-P22,M1152,Germicidin A,7.277335865
41,F519-P26 ,M1152,Germicidin A,10.85966732
45,F519-P30 ,M1152,Germicidin A,16.03397155
49,F519-P34 ,M1152,Germicidin A,21.83440345
57,F519-P42 ,M1152,Germicidin A,46.51051186
65,F519-P50 ,M1152,Germicidin A,74.84269314
69,F519-P51 ,M1152,Germicidin A,95.91127501
25,F521-P10,M1152,Germicidin A,0
29,F521-P14 ,M1152,Germicidin A,3.16755279
33,F521-P18 ,M1152,Germicidin A,5.33046035
37,F521-P22,M1152,Germicidin A,8.334286867
41,F521-P26 ,M1152,Germicidin A,10.76028374
45,F521-P30 ,M1152,Germicidin A,17.78985586
49,F521-P34 ,M1152,Germicidin A,21.96216098
57,F521-P42 ,M1152,Germicidin A,28.98871601
65,F521-P50 ,M1152,Germicidin A,75.92466065
69,F521-P51 ,M1152,Germicidin A,78.31748401
25,F522-P10,M1152,Germicidin A,0
29,F522-P14 ,M1152,Germicidin A,2.999172757
33,F522-P18 ,M1152,Germicidin A,4.532963684
37,F522-P22,M1152,Germicidin A,10.17723775
41,F522-P26 ,M1152,Germicidin A,23.42612168
45,F522-P30 ,M1152,Germicidin A,17.87709697
49,F522-P34 ,M1152,Germicidin A,30.59052001
57,F522-P42 ,M1152,Germicidin A,45.23101843
65,F522-P50 ,M1152,Germicidin A,72.27683956
69,F522-P51 ,M1152,Germicidin A,88.90682674
25,F519-P10,M1152,Germicidin B,0
29,F519-P14 ,M1152,Germicidin B,3.507242545
33,F519-P18 ,M1152,Germicidin B,7.824383777
37,F519-P22,M1152,Germicidin B,16.54703015
41,F519-P26 ,M1152,Germicidin B,30.40260147
45,F519-P30 ,M1152,Germicidin B,64.996938
49,F519-P34 ,M1152,Germicidin B,68.80229125
57,F519-P42 ,M1152,Germicidin B,140.2401693
65,F519-P50 ,M1152,Germicidin B,352.7588703
69,F519-P51 ,M1152,Germicidin B,316.9550862
25,F521-P10,M1152,Germicidin B,3.226121748
29,F521-P14 ,M1152,Germicidin B,3.776337589
33,F521-P18 ,M1152,Germicidin B,7.397771853
37,F521-P22,M1152,Germicidin B,18.4016514
41,F521-P26 ,M1152,Germicidin B,31.98852827
45,F521-P30 ,M1152,Germicidin B,72.91948611
49,F521-P34 ,M1152,Germicidin B,71.70111408
57,F521-P42 ,M1152,Germicidin B,91.03970449
65,F521-P50 ,M1152,Germicidin B,343.205178
69,F521-P51 ,M1152,Germicidin B,262.6777355
25,F522-P10,M1152,Germicidin B,0
29,F522-P14 ,M1152,Germicidin B,4.05473152
33,F522-P18 ,M1152,Germicidin B,7.556834673
37,F522-P22,M1152,Germicidin B,28.98613502
41,F522-P26 ,M1152,Germicidin B,72.37219497
45,F522-P30 ,M1152,Germicidin B,71.5932089
49,F522-P34 ,M1152,Germicidin B,96.95996759
57,F522-P42 ,M1152,Germicidin B,138.6791052
65,F522-P50 ,M1152,Germicidin B,336.2154425
69,F522-P51 ,M1152,Germicidin B,302.9317285
25,F525-P10 ,M1146,Germicidin A,1.192505734
45,F525-P30 ,M1146,Germicidin A,116.6116548
59,F525-P44,M1146,Germicidin A,529.1173318
61,F525-P46,M1146,Germicidin A,569.9446139
69,F525-P51 ,M1146,Germicidin A,713.2350964
25,F526-P10,M1146,Germicidin A,1.272572095
45,F526-P30 ,M1146,Germicidin A,146.3465294
59,F526-P44,M1146,Germicidin A,706.6425022
61,F526-P46,M1146,Germicidin A,769.404245
69,F526-P51 ,M1146,Germicidin A,655.4607665
25,F527-P10,M1146,Germicidin A,1.08844147
45,F527-P30 ,M1146,Germicidin A,82.20464596
59,F527-P44,M1146,Germicidin A,477.913813
61,F527-P46,M1146,Germicidin A,515.6254799
69,F527-P51 ,M1146,Germicidin A,1135.844083
25,F525-P10 ,M1146,Germicidin B,1.35245776
45,F525-P30 ,M1146,Germicidin B,206.4658498
59,F525-P44,M1146,Germicidin B,985.6253721
61,F525-P46,M1146,Germicidin B,980.0806165
69,F525-P51 ,M1146,Germicidin B,1329.424524
25,F526-P10,M1146,Germicidin B,1.587590646
45,F526-P30 ,M1146,Germicidin B,245.1774101
59,F526-P44,M1146,Germicidin B,1229.194142
61,F526-P46,M1146,Germicidin B,1298.782573
69,F526-P51 ,M1146,Germicidin B,1349.3947
25,F527-P10,M1146,Germicidin B,1.216643421
45,F527-P30 ,M1146,Germicidin B,161.2939655
59,F527-P44,M1146,Germicidin B,908.3696573
61,F527-P46,M1146,Germicidin B,1013.54926
69,F527-P51 ,M1146,Germicidin B,1994.801013
