rxns	MEAN_M145_21	MEAN_M145_29	MEAN_M145_33	MEAN_M145_37	MEAN_M145_41	MEAN_M145_45	MEAN_M145_49	MEAN_M145_53	MEAN_M145_57	MEAN_M1152_33	MEAN_M1152_41	MEAN_M1152_45	MEAN_M1152_49	MEAN_M1152_53	MEAN_M1152_57	MEAN_M1152_61	MEAN_M1152_65	STDEV_M145_21	STDEV_M145_29	STDEV_M145_33	STDEV_M145_37	STDEV_M145_41	STDEV_M145_45	STDEV_M145_49	STDEV_M145_53	STDEV_M145_57	STDEV_M1152_33	STDEV_M1152_41	STDEV_M1152_45	STDEV_M1152_49	STDEV_M1152_53	STDEV_M1152_57	STDEV_M1152_61	STDEV_M1152_65
BIOMASS_SCO_tRNA	1.717937e-02	1.487806e-02	1.163261e-02	1.746262e-03	1.807159e-03	1.860175e-03	7.889545e-04	8.224005e-04	8.784333e-04	1.531452e-02	1.151542e-02	9.494995e-03	8.552627e-03	1.679678e-03	1.894328e-03	2.191960e-03	2.215410e-03	1.723323e-05	3.327523e-05	3.585570e-05	8.129924e-06	7.924127e-06	8.203879e-06	3.541800e-06	3.797362e-06	3.864188e-06	2.315099e-05	3.999762e-05	4.195020e-05	3.113222e-05	7.802802e-06	8.550042e-06	1.045784e-05	9.483098e-06
CARBOHYDRATE_PSEUDO	1.717937e-02	1.487806e-02	1.163261e-02	1.746262e-03	1.807159e-03	1.860175e-03	7.889545e-04	8.224005e-04	8.784333e-04	1.531452e-02	1.151542e-02	9.494995e-03	8.552627e-03	1.679678e-03	1.894328e-03	2.191960e-03	2.215410e-03	1.723323e-05	3.327523e-05	3.585570e-05	8.129924e-06	7.924127e-06	8.203879e-06	3.541800e-06	3.797362e-06	3.864188e-06	2.315099e-05	3.999762e-05	4.195020e-05	3.113222e-05	7.802802e-06	8.550042e-06	1.045784e-05	9.483098e-06
CELL_WALL_PSEUDO	1.717937e-02	1.487806e-02	1.163261e-02	1.746262e-03	1.807159e-03	1.860175e-03	7.889545e-04	8.224005e-04	8.784333e-04	1.531452e-02	1.151542e-02	9.494995e-03	8.552627e-03	1.679678e-03	1.894328e-03	2.191960e-03	2.215410e-03	1.723323e-05	3.327523e-05	3.585570e-05	8.129924e-06	7.924127e-06	8.203879e-06	3.541800e-06	3.797362e-06	3.864188e-06	2.315099e-05	3.999762e-05	4.195020e-05	3.113222e-05	7.802802e-06	8.550042e-06	1.045784e-05	9.483098e-06
DNA_PSEUDO	1.717937e-02	1.487806e-02	1.163261e-02	1.746262e-03	1.807159e-03	1.860175e-03	7.889545e-04	8.224005e-04	8.784333e-04	1.531452e-02	1.151542e-02	9.494995e-03	8.552627e-03	1.679678e-03	1.894328e-03	2.191960e-03	2.215410e-03	1.723323e-05	3.327523e-05	3.585570e-05	8.129924e-06	7.924127e-06	8.203879e-06	3.541800e-06	3.797362e-06	3.864188e-06	2.315099e-05	3.999762e-05	4.195020e-05	3.113222e-05	7.802802e-06	8.550042e-06	1.045784e-05	9.483098e-06
LIPID_PSEUDO	1.717937e-02	1.487806e-02	1.163261e-02	1.746262e-03	1.807159e-03	1.860175e-03	7.889545e-04	8.224005e-04	8.784333e-04	1.531452e-02	1.151542e-02	9.494995e-03	8.552627e-03	1.679678e-03	1.894328e-03	2.191960e-03	2.215410e-03	1.723323e-05	3.327523e-05	3.585570e-05	8.129924e-06	7.924127e-06	8.203879e-06	3.541800e-06	3.797362e-06	3.864188e-06	2.315099e-05	3.999762e-05	4.195020e-05	3.113222e-05	7.802802e-06	8.550042e-06	1.045784e-05	9.483098e-06
MISC_PSEUDO	1.717937e-02	1.487806e-02	1.163261e-02	1.746262e-03	1.807159e-03	1.860175e-03	7.889545e-04	8.224005e-04	8.784333e-04	1.531452e-02	1.151542e-02	9.494995e-03	8.552627e-03	1.679678e-03	1.894328e-03	2.191960e-03	2.215410e-03	1.723323e-05	3.327523e-05	3.585570e-05	8.129924e-06	7.924127e-06	8.203879e-06	3.541800e-06	3.797362e-06	3.864188e-06	2.315099e-05	3.999762e-05	4.195020e-05	3.113222e-05	7.802802e-06	8.550042e-06	1.045784e-05	9.483098e-06
PROTEIN_PSEUDO_tRNA	1.717937e-02	1.487806e-02	1.163261e-02	1.746262e-03	1.807159e-03	1.860175e-03	7.889545e-04	8.224005e-04	8.784333e-04	1.531452e-02	1.151542e-02	9.494995e-03	8.552627e-03	1.679678e-03	1.894328e-03	2.191960e-03	2.215410e-03	1.723323e-05	3.327523e-05	3.585570e-05	8.129924e-06	7.924127e-06	8.203879e-06	3.541800e-06	3.797362e-06	3.864188e-06	2.315099e-05	3.999762e-05	4.195020e-05	3.113222e-05	7.802802e-06	8.550042e-06	1.045784e-05	9.483098e-06
RNA_PSEUDO	1.717937e-02	1.487806e-02	1.163261e-02	1.746262e-03	1.807159e-03	1.860175e-03	7.889545e-04	8.224005e-04	8.784333e-04	1.531452e-02	1.151542e-02	9.494995e-03	8.552627e-03	1.679678e-03	1.894328e-03	2.191960e-03	2.215410e-03	1.723323e-05	3.327523e-05	3.585570e-05	8.129924e-06	7.924127e-06	8.203879e-06	3.541800e-06	3.797362e-06	3.864188e-06	2.315099e-05	3.999762e-05	4.195020e-05	3.113222e-05	7.802802e-06	8.550042e-06	1.045784e-05	9.483098e-06
ATPM	2.058198e+00	1.845206e+00	2.211651e+00	4.275182e+00	4.458078e+00	4.631516e+00	4.823263e+00	4.986275e+00	5.245665e+00	8.975305e-01	2.196193e+00	2.951575e+00	3.423501e+00	5.139974e+00	4.710029e+00	5.127469e+00	5.216796e+00	1.691600e-04	3.356239e-04	1.909498e-13	5.108794e-04	2.786472e-13	3.356240e-13	2.844982e-04	1.958533e-13	4.597333e-04	3.610105e-04	1.454666e-13	4.226952e-04	1.290439e-13	5.586149e-04	2.991360e-04	4.702044e-04	4.153284e-13
23DHBZS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
