N; Gene;    In vivo growth
1; SCO1476; False
2; SCO1477; False
3; SCO1494; False
4; SCO1495; False
5; SCO1496; False
6; SCO1594; False
7; SCO1595; False
8; SCO1632; False
9; SCO1633; False
10; SCO1657; False
11; SCO1776; False
12; SCO1919; False
13; SCO1920; False
14; SCO1921; False
15; SCO1922; False
16; SCO1923; False
17; SCO1924; False
18; SCO1934; False
19; SCO1946; False
20; SCO2052; False
21; SCO2053; False
22; SCO2064; False
23; SCO2076; False
24; SCO2086; False
25; SCO2087; False
26; SCO2147; False
27; SCO2150; False
28; SCO2151; False
29; SCO2180; False
30; SCO2181; False
31; SCO2387; False
32; SCO2388; False
33; SCO2571; False
34; SCO2592; False
35; SCO2595; False
36; SCO2596; False
37; SCO2597; False
38; SCO2615; False
39; SCO2677; False
40; SCO3005; False
41; SCO3122; False
42; SCO3123; False
43; SCO3261; False
44; SCO3303; False
45; SCO3304; False
46; SCO3317; False
47; SCO3319; False
48; SCO3373; False
49; SCO3795; False
50; SCO3874; False
51; SCO3878; False
52; SCO3879; False
53; SCO3894; False
54; SCO3895; False
55; SCO4250; False
56; SCO4296; False
57; SCO4469; False
58; SCO4470; False
59; SCO4491; False
60; SCO4492; False
61; SCO4654; False
62; SCO4702; False
63; SCO4703; False
64; SCO4704; False
65; SCO4705; False
66; SCO4706; False
67; SCO4707; False
68; SCO4708; False
69; SCO4709; False
70; SCO4710; False
71; SCO4711; False
72; SCO4712; False
73; SCO4717; False
74; SCO4718; False
75; SCO4719; False
76; SCO4720; False
77; SCO4721; False
78; SCO4735; False
79; SCO4736; False
80; SCO4807; False
81; SCO4808; False
82; SCO4809; False
83; SCO5188; False
84; SCO5240; False
85; SCO5241; False
86; SCO5278; False
87; SCO5365; False
88; SCO5366; False
89; SCO5367; False
90; SCO5368; False
91; SCO5369; False
92; SCO5370; False
93; SCO5371; False
94; SCO5372; False
95; SCO5373; False
96; SCO5374; False
97; SCO5559; False
98; SCO5560; False
99; SCO5561; False
100; SCO5626; False
101; SCO5627; False
102; SCO5628; False
103; SCO5706; False
104; SCO5736; False
105; SCO5737; False
106; SCO5820; False
107; SCO5836; False
108; SCO5999; False
109; SCO6031; False
110; SCO6041; False
111; SCO6042; False
112; SCO6187; False
113; SCO6430; False
114; SCO6450; False
115; SCO6570; False
116; SCO6571; False
117; SCO6752; False
118; SCO6753; False
119; SCO6754; False
120; SCO7000; False
121; SCO7243; False
122; SCO7401; False
123; SCO7402; False
124; SCO7591; False
125; SCO3225; True
126; SCO0033, SCO0034; True
127; SCO0175; True
128; SCO0473; True
129; SCO0575; True
130; SCO0601; True
131; SCO0605; True
132; SCO0635; True
133; SCO0681; True
134; SCO0688; True
135; SCO0701; True
136; SCO0702; True
137; SCO0703; True
138; SCO0741; True
139; SCO0788; True
140; SCO0810; True
141; SCO0846, SCO0847; True
142; SCO0909; True
143; SCO0928; True
144; SCO1010; True
145; SCO1044, SCO1045; True
146; SCO1061; True
147; SCO1082; True
148; SCO1103; True
149; SCO1104; True
150; SCO1118; True
151; SCO1126; True
152; SCO1162, SCO1163; True
153; SCO1241; True
154; SCO1280; True
155; SCO1289; True
156; SCO1316; True
157; SCO1375; True
158; SCO1380; True
159; SCO1413; True
160; SCO1416; True
161; SCO1451; True
162; SCO1478; True
163; SCO1483; True
164; SCO1486; True
165; SCO1489; True
166; SCO1504; True
167; SCO1507; True
168; SCO1513; True
169; SCO1522; True
170; SCO1526; True
171; SCO1531; True
172; SCO1581; True
173; SCO1596; True
174; SCO1598; True
175; SCO1615, SCO1616; True
176; SCO1621; True
177; SCO1645; True
178; SCO1647; True
179; SCO1648; True
180; SCO1657; True
181; SCO1658; True
182; SCO1741; True
183; SCO1808; True
184; SCO1842; True
185; SCO1863; True
186; SCO1893; True
187; SCO1896; True
188; SCO1916; True
189; SCO1925; True
190; SCO1948; True
191; SCO1979; True
192; SCO1979, SCO1980; True
193; SCO1980; True
194; SCO1994; True
195; SCO2005; True
196; SCO2024; True
197; SCO2037; True
198; SCO2061; True
199; SCO2067; True
200; SCO2089; True
201; SCO2107; True
202; SCO2120; True
203; SCO2121; True
204; SCO2153; True
205; SCO2161, SCO2162; True
206; SCO2168; True
207; SCO2170; True
208; SCO2184; True
209; SCO2188, SCO2189; True
210; SCO2191; True
211; SCO2193; True
212; SCO2194; True
213; SCO2250; True
214; SCO2258; True
215; SCO2317; True
216; SCO2362; True
217; SCO2384; True
218; SCO2394; True
219; SCO2450; True
220; SCO2451; True
221; SCO2460; True
222; SCO2519; True
223; SCO2525; True
224; SCO2526; True
225; SCO2528; True
226; SCO2528, SCO2529; True
227; SCO2555, SCO2556; True
228; SCO2586; True
229; SCO2599; True
230; SCO2602, SCO2603; True
231; SCO2612; True
232; SCO2618; True
233; SCO2636; True
234; SCO2637; True
235; SCO2638; True
236; SCO2640; True
237; SCO2656; True
238; SCO2736; True
239; SCO2792; True
240; SCO2793; True
241; SCO2850; True
242; SCO2852; True
243; SCO2868; True
244; SCO2878; True
245; SCO2940; True
246; SCO2967; True
247; SCO2973; True
248; SCO2974; True
249; SCO2975; True
250; SCO2994; True
251; SCO2999; True
252; SCO3008; True
253; SCO3012; True
254; SCO3013; True
255; SCO3035; True
256; SCO3050; True
257; SCO3051; True
258; SCO3055; True
259; SCO3061; True
260; SCO3109; True
261; SCO3120; True
262; SCO3145; True
263; SCO3154; True
264; SCO3168; True
265; SCO3181; True
266; SCO3191; True
267; SCO3205, SCO3206; True
268; SCO3217; True
269; SCO3216; True
270; SCO3230; True
271; SCO3269; True
272; SCO3286; True
273; SCO3301; True
274; SCO3323; True
275; SCO3324; True
276; SCO3345; True
277; SCO3387; True
278; SCO3388; True
279; SCO3390; True
280; SCO3401; True
281; SCO3404; True
282; SCO3419; True
283; SCO3436, SCO3437; True
284; SCO3446; True
285; SCO3462; True
286; SCO3479; True
287; SCO3484; True
288; SCO3501; True
289; SCO3517; True
290; SCO3540; True
291; SCO3545; True
292; SCO3549, SCO3550; True
293; SCO3549; True
294; SCO3550; True
295; SCO3556; True
296; SCO3577; True
297; SCO3579, SCO3580; True
298; SCO3579; True
299; SCO3585; True
300; SCO3602; True
301; SCO3614; True
302; SCO3632; True
303; SCO3664; True
304; SCO3669; True
305; SCO3673; True
306; SCO3689; True
307; SCO3691; True
308; SCO3697; True
309; SCO3721; True
310; SCO3747; True
311; SCO3763; True
312; SCO3772; True
313; SCO3778; True
314; SCO3799; True
315; SCO3801; True
316; SCO3810, SCO3811; True
317; SCO3837; True
318; SCO3838; True
319; SCO3843; True
320; SCO3848; True
321; SCO3855; True
322; SCO3856; True
323; SCO3867, SCO3868; True
324; SCO3876; True
325; SCO3902; True
326; SCO3917; True
327; SCO3930; True
328; SCO3946; True
329; SCO3947; True
330; SCO3957; True
331; SCO3963; True
332; SCO3964; True
333; SCO3979, SCO3980; True
334; SCO3992; True
335; SCO4013; True
336; SCO4025; True
337; SCO4062, SCO4063; True
338; SCO4069; True
339; SCO4091; True
340; SCO4109; True
341; SCO4114; True
342; SCO4127; True
343; SCO4128; True
344; SCO4129; True
345; SCO4130; True
346; SCO4131; True
347; SCO4131, SCO4132; True
348; SCO4132; True
349; SCO4174; True
350; SCO4175; True
351; SCO4176; True
352; SCO4188; True
353; SCO4190; True
354; SCO4213; True
355; SCO4215; True
356; SCO4231, SCO4232; True
357; SCO4236; True
358; SCO4247; True
359; SCO4251; True
360; SCO4263; True
361; SCO4290; True
362; SCO4293; True
363; SCO4298; True
364; SCO4312; True
365; SCO4330; True
366; SCO4366, SCO4367; True
367; SCO4371; True
368; SCO4456; True
369; SCO4478; True
370; SCO4480; True
371; SCO4493; True
372; SCO4496; True
373; SCO4504; True
374; SCO4543; True
375; SCO4584; True
376; SCO4607; True
377; SCO4617; True
378; SCO4621; True
379; SCO4644; True
380; SCO4654; True
381; SCO4655; True
382; SCO4661; True
383; SCO4662; True
384; SCO4667; True
385; SCO4674; True
386; SCO4678; True
387; SCO4731; True
388; SCO4735; True
389; SCO4738; True
390; SCO4755; True
391; SCO4768; True
392; SCO4771; True
393; SCO4776; True
394; SCO4778; True
395; SCO4806; True
396; SCO4826; True
397; SCO4830; True
398; SCO4840; True
399; SCO4881; True
400; SCO4882; True
401; SCO4886; True
402; SCO4928; True
403; SCO4960; True
404; SCO4968; True
