N; Gene;    In vivo growth
405; SCO4973; True
406; SCO4974; True
407; SCO5028; True
408; SCO5043; True
409; SCO5113; True
410; SCO5114; True
411; SCO5144, SCO5145; True
412; SCO5145, SCO5146; True
413; SCO5145; True
414; SCO5166; True
415; SCO5171, SCO5172; True
416; SCO5175; True
417; SCO5195; True
418; SCO5205; True
419; SCO5233; True
420; SCO5235; True
421; SCO5239; True
422; SCO5243; True
423; SCO5264; True
424; SCO5281; True
425; SCO5289; True
426; SCO5306; True
427; SCO5336; True
428; SCO5339; True
429; SCO5343; True
430; SCO5347; True
431; SCO5397; True
432; SCO5398; True
433; SCO5400; True
434; SCO5436; True
435; SCO5440; True
436; SCO5471; True
437; SCO5472; True
438; SCO5486; True
439; SCO5488; True
440; SCO5495; True
441; SCO5501; True
442; SCO5512; True
443; SCO5529; True
444; SCO5547; True
445; SCO5553; True
446; SCO5567; True
447; SCO5581; True
448; SCO5582; True
449; SCO5585; True
450; SCO5597; True
451; SCO5605; True
452; SCO5608; True
453; SCO5609; True
454; SCO5646; True
455; SCO5652; True
456; SCO5673; True
457; SCO5677; True
458; SCO5678; True
459; SCO5681; True
460; SCO5697; True
461; SCO5723; True
462; SCO5725; True
463; SCO5732; True
464; SCO5745; True
465; SCO5750; True
466; SCO5776; True
467; SCO5779; True
468; SCO5796; True
469; SCO5818; True
470; SCO5822; True
471; SCO5862; True
472; SCO5863; True
473; SCO5876; True
474; SCO5877; True
475; SCO5878; True
476; SCO5879; True
477; SCO5881; True
478; SCO5882; True
479; SCO5883; True
480; SCO5884; True
481; SCO5885; True
482; SCO5886; True
483; SCO5887; True
484; SCO5888; True
485; SCO5889; True
486; SCO5890; True
487; SCO5891; True
488; SCO5892; True
489; SCO5895; True
490; SCO5896; True
491; SCO6008; True
492; SCO6012; True
493; SCO6028; True
494; SCO6106, SCO6107; True
495; SCO6118; True
496; SCO6162; True
497; SCO6227; True
498; SCO6265; True
499; SCO6275; True
500; SCO6377; True
501; SCO6432; True
502; SCO6486; True
503; SCO6516, SCO6517; True
504; SCO6581; True
505; SCO6589; True
506; SCO6626; True
507; SCO6629; True
508; SCO6660; True
509; SCO6719; True
510; SCO6765; True
511; SCO6786; True
512; SCO6825; True
513; SCO6838; True
514; SCO7002; True
515; SCO7006; True
516; SCO7008, SCO7009; True
517; SCO7031; True
518; SCO7038; True
519; SCO7050; True
520; SCO7070; True
521; SCO7252; True
522; SCO7435; True
523; SCO7559; True
524; SCO7685; True
525; SCO7733; True




