Avg F519-522;M1152 in F134 medium;;;;
SYS-F-u08-17;;;;;
Online data;;;;;
;;;;;
Time;TAI;pH     ;DO;Agitation;CO2
;[h];;[%];[rpm];[mmol/l/t]
21.02.2017 15:21:48 ;0,086666667;6,943333333;96,06666667;310,3333333;
21.02.2017 15:27:32 ;0,173333333;6,943333333;95,36666667;309,6666667;0,197731495
21.02.2017 15:34:53 ;0,296666667;6,943333333;95,13333333;310,3333333;0,195966035
21.02.2017 15:40:04 ;0,383333333;6,943333333;95,23333333;310;0,280266739
21.02.2017 15:45:08 ;0,466666667;6,943333333;95,33333333;309,3333333;0,354857414
21.02.2017 15:50:11 ;0,553333333;6,943333333;95,23333333;309,6666667;0,35088513
21.02.2017 15:55:18 ;0,636666667;6,943333333;95,13333333;310,6666667;0,346912845
21.02.2017 16:00:22 ;0,723333333;6,943333333;95,1;310,3333333;0,386371017
21.02.2017 16:05:29 ;0,806666667;6,946666667;95,06666667;309,6666667;0,319541666
21.02.2017 16:10:32 ;0,893333333;6,946666667;94,86666667;310;0,357160837
21.02.2017 16:15:39 ;0,976666667;6,943333333;94,9;310;0,355833101
21.02.2017 16:20:41 ;1,063333333;6,943333333;94,56666667;310,3333333;0,346538953
21.02.2017 16:25:49 ;1,143333333;6,943333333;94,73333333;309,6666667;0,353620209
21.02.2017 16:30:51 ;1,233333333;6,94;94,73333333;310,3333333;0,356718258
21.02.2017 16:39:01 ;1,366666667;6,94;94,63333333;309,6666667;0,41159799
21.02.2017 16:44:04 ;1,453333333;6,943333333;94,83333333;310,3333333;0,479755077
21.02.2017 16:49:08 ;1,533333333;6,943333333;94,83333333;310,3333333;0,453642946
21.02.2017 16:54:14 ;1,62;6,943333333;94,9;309,6666667;0,433284336
21.02.2017 16:59:17 ;1,703333333;6,943333333;94,5;310,6666667;0,492147275
21.02.2017 17:04:25 ;1,79;6,943333333;94,46666667;310,6666667;0,404074156
21.02.2017 17:09:29 ;1,873333333;6,946666667;94,56666667;309,6666667;0,404959313
21.02.2017 17:14:35 ;1,96;6,943333333;94,53333333;310,3333333;0,412483147
