rxn1,rxn1_lb,rxn1_ub,rxn2,rxn2_lb,rxn2_ub,rxn3,rxn3_lb,rxn3_ub,model growth
PPC,-1000,1000,,,,,,,0.116
NADK,-1000,1000,,,,,,,0.116
PGL,-1000,1000,,,,,,,0.116
PC6AR,-1000,0,,,,,,,-0.0
PPS,-1000,1000,,,,,,,0.116
PC,-1000,1000,,,,,,,0.116
ACGS,-1000,1000,,,,,,,0.116
ATPS4r,-1000,0,,,,,,,0.0049
GLYCK2,-1000,1000,,,,,,,0.116
PGCD,-1000,0,,,,,,,-0.0
ACGK,-1000,0,,,,,,,0.0
THD2,-1000,1000,,,,,,,0.116
GLYCK,-1000,1000,,,,,,,0.116
RBK,-1000,1000,GNNUC,-1000.0,1000.0,,,,0.116
TRE6PH,-1000,1000,HEX1,-1000.0,1000.0,,,,0.116
RBK,-1000,1000,XTSNH,-1000.0,1000.0,,,,0.116
TRE6PP,-1000,1000,HEX7,-1000.0,1000.0,,,,0.116
GLNS,-1000,1000,CTPS2,-1000.0,1000.0,,,,0.116
PFK_3,-1000,1000,FBP,-1000.0,1000.0,,,,0.116
RBK,-1000,1000,ADNUC,-1000.0,1000.0,,,,0.116
TRE6PH,-1000,1000,HEX7,-1000.0,1000.0,,,,0.116
BFBP,-1000,1000,PFK,-1000.0,1000.0,,,,0.116
TRE6PP,-1000,1000,GLUKB,-1000.0,1000.0,,,,0.116
RBK,-1000,1000,INSH,-1000.0,1000.0,,,,0.116
MBCOA2,-1000,1000,FADRx2,-1000.0,1000.0,,,,0.1166
TRE6PP,-1000,1000,HEX1,-1000.0,1000.0,,,,0.116
PFK_3,-1000,1000,BFBP,-1000.0,1000.0,,,,0.116
GLUN,-1000,1000,GLNS,-1000.0,1000.0,,,,0.116
GNK,-1000,1000,G1Dx,-1000.0,1000.0,,,,0.116
FBP,-1000,1000,PFK,-1000.0,1000.0,,,,0.116
ALAALAr,-1000,1000,ALAALAD,-1000.0,1000.0,,,,0.116
TRE6PH,-1000,1000,GLUKB,-1000.0,1000.0,,,,0.116
G3PD,-1000,1000,MBCOA2,-1000.0,1000.0,,,,0.1166
NNATr,-1000,1000,DNADDP,-1000.0,1000.0,,,,0.116
RBK,-1000,1000,URIH,-1000.0,1000.0,,,,0.116
NNATr,-1000,1000,NMNDA,-1000.0,1000.0,NADS1,-1000.0,1000.0,0.116
KHK,-1000,1000,BFBP,-1000.0,1000.0,GLYK,-1000.0,1000.0,0.116
PPCOAC,-1000,1000,G3PD,-1000.0,1000.0,ME2,-1000.0,1000.0,0.1166
GF6PTA,-1000,1000,GLNS,-1000.0,1000.0,G6PDA,-1000.0,1000.0,0.116
KHK,-1000,1000,CITL,-1000.0,1000.0,FBP,-1000.0,1000.0,0.0817
KHK,-1000,1000,TRE6PP,-1000.0,1000.0,RBK_L1,-1000.0,1000.0,0.116
KHK,-1000,1000,TRE6PP,-1000.0,1000.0,GLYK,-1000.0,1000.0,0.116
PPCOAC,-1000,1000,ACCOAC,-1000.0,1000.0,MBCOAi,-1000.0,0.0,0.1161
PPCOAC,-1000,1000,FADRx2,-1000.0,1000.0,ADPT,-1000.0,1000.0,0.1166
PPCOAC,-1000,1000,G3PD,-1000.0,1000.0,ME1,-1000.0,1000.0,0.1166
PPCOAC,-1000,1000,G3PD,-1000.0,1000.0,AACOATi,-1000.0,1000.0,0.1166
KHK,-1000,1000,TRE6PH,-1000.0,1000.0,RBK_L1,-1000.0,1000.0,0.116
PPCOAC,-1000,1000,FADRx2,-1000.0,1000.0,AACOATi,-1000.0,1000.0,0.1166
