iKS1317_ID,Sco4_ID,comment
ACPact[c],ACPact_c,identical
malcoa[c],malcoa_c,identical
coa[c],coa_c,identical
malACPact[c],malACPact_c,identical
actint1ACPact[c],actint1ACPact_c,identical
nadph[c],nadph_c,identical
h[c],h_c,identical
actint2ACPact[c],actint2ACPact_c,identical
nadp[c],nadp_c,identical
actint3ACPact[c],actint3ACPact_c,identical
h2o[c],h2o_c,identical
actint4ACPact[c],actint4ACPact_c,identical
actint5ACPact[c],actint5ACPact_c,identical
dnpaACPact[c],dnpaACPact_c,identical
ddhkACPact[c],ddhkACPact_c,identical
o2[c],o2_c,identical
dhkACPact[c],dhkACPact_c,identical
nadh[c],nadh_c,identical
nad[c],nad_c,identical
act[c],ACT_c,identical
accoa[c],accoa_c,identical
actACPact[c],actACPact_c,identical
co2[c],co2_c,identical
pk6ACPact[c],pk6ACPact_c,identical
pk8ACPact[c],pk8ACPact_c,identical
pk10ACPact[c],pk10ACPact_c,identical
pk12ACPact[c],pk12ACPact_c,identical
pk14ACPact[c],pk14ACPact_c,identical
pk16ACPact[c],pk16ACPact_c,identical
ala__L[c],ala-L_c,identical
nh4[c],nh4_c,identical
pyr[c],pyr_c,identical
ala__D[c],ala-D_c,identical
akg[c],akg_c,identical
glu__L[c],glu-L_c,identical
ala_B[c],ala-B_c,identical
msa[c],msa_c,identical
asn__L[c],asn-L_c,identical
asp__L[c],asp-L_c,identical
atp[c],atp_c,identical
gln__L[c],gln-L_c,identical
amp[c],amp_c,identical
ppi[c],ppi_c,identical
h2o2[c],h2o2_c,identical
oaa[c],oaa_c,identical
oxadpcoa[c],oxadpcoa_c,identical
succoa[c],succoa_c,identical
5dglcn[c],5dglcn_c,identical
glcn[c],glcn_c,identical
salcn6p[c],salc6p_c,identical
2hymeph[c],2hymeph_c,identical
g6p[c],g6p_c,identical
14glucan[e],14glucan_e,identical
malthx[e],malthx_e,identical
acmum6p[c],acmum6p_c,identical
acgam6p[c],acgam6p_c,identical
lac__D[c],lac-D_c,identical
ppa[c],ppa_c,identical
ppcoa[c],ppcoa_c,identical
adn[c],adn_c,identical
ade[c],ade_c,identical
rib__D[c],rib-D_c,identical
ac[c],ac_c,identical
gam6p[c],gam6p_c,identical
glyald[c],glyald_c,identical
glyc[c],glyc_c,identical
fald[c],fald_c,identical
for[c],for_c,identical
pacald[c],pacald_c,identical
pac[c],pac_c,identical
acald[c],acald_c,identical
alltt[c],alltt_c,identical
urdglyc[c],urdglyc_c,identical
malt[c],malt_c,identical
malttr[c],malttr_c,identical
glc__D[c],glc-D_c,identical
maltttr[c],maltttr_c,identical
maltpt[c],maltpt_c,identical
malthx[c],malthx_c,identical
malthp[c],malthp_c,identical
arab__L[c],arab-L_c,identical
rbl__L[c],rbl-L_c,identical
cellb[c],celb_c,identical
cytd[c],cytd_c,identical
csn[c],csn_c,identical
abt__D[c],abt-D_c,identical
xylu__D[c],xylu-D_c,identical
chtbs[c],chtbs_c,identical
acgam[c],acgam_c,identical
2ddglcn[c],2ddglcn_c,identical
2ddg6p[c],2ddg6p_c,identical
adp[c],adp_c,identical
23dhacoa[c],23dhacoa_c,identical
3hadpcoa[c],3hadpcoa_c,identical
dha[c],dha_c,identical
dhap[c],dhap_c,identical
5dh4dglc[c],5dh4dglc_c,identical
25dop[c],25dptn_c,identical
drib[c],drib_c,identical
2dr5p[c],2dr5p_c,identical
g3p[c],g3p_c,identical
tartr__D[c],tartr-D_c,identical
epm[c],epm_c,identical
gal[c],gal_c,identical
man[c],man_c,identical
forcoa[c],forcoa_c,identical
oxa[c],oxa_c,identical
oxalcoa[c],oxalcoa_c,identical
f1p[c],f1p_c,identical
fdp[c],fdp_c,identical
glyc3p[c],glyc3p_c,identical
f6p[c],f6p_c,identical
dgal6p[c],dgal6p_c,identical
tag6p__D[c],tag6p-D_c,identical
galctn__D[c],galctn-D_c,identical
2dh3dgal[c],2dh3dgal_c,identical
1Dgali[c],1Dgali_c,identical
inost[c],inost_c,identical
gal1p[c],gal1p_c,identical
melib[c],melib_c,identical
ggl[c],ggl_c,identical
acglc__D[c],acglc-D_c,identical
2h3oppan[c],2h3oppan_c,identical
glcr[c],glcr_c,identical
glyc__R[c],glyc-R_c,identical
glyclt[c],glyclt_c,identical
glx[c],glx_c,identical
mqn9[c],mqn9_c,identical
mql9[c],mql9_c,identical
6pgc[c],6pgc_c,identical
man6p[c],man6p_c,identical
fru[c],fru_c,identical
hpyr[c],hpyr_c,identical
idon__L[c],idon-L_c,identical
lcts[c],lcts_c,identical
lald__L[c],lald-L_c,identical
lac__L[c],lac-L_c,identical
lyx__L[c],lyx-L_c,identical
xylu__L[c],xylu-L_c,identical
acmalt[c],acmalt_c,identical
melt[c],melt_c,identical
sbt__D[c],sbt-D_c,identical
h2o[e],h2o_e,identical
malttr[e],malttr_e,identical
glc__D[e],glc-D_e,identical
malt[e],malt_e,identical
maltttr[e],maltttr_e,identical
maltpt[e],maltpt_e,identical
malthp[e],malthp_e,identical
pi[c],pi_c,identical
g1p[c],g1p_c,identical
mnl[c],mnl_c,identical
tre[c],tre_c,identical
3oxdhscoa[c],3oxdhscoa_c,identical
phaccoa[c],phaccoa_c,identical
rephaccoa[c],rephaccoa_c,identical
tagdp__D[c],tagdp-D_c,identical
man1p[c],man1p_c,identical
ppap[c],ppap_c,identical
r1p[c],r1p_c,identical
r5p[c],r5p_c,identical
2dr1p[c],2dr1p_c,identical
raffin[c],raffin_c,identical
sucr[c],sucr_c,identical
ru5p__L[c],ru5p-L_c,identical
xu5p__D[c],xu5p-D_c,identical
2oxpaccoa[c],2oxpaccoa_c,identical
rmn[c],rmn_c,identical
rml[c],rml_c,identical
rml1p[c],rml1p_c,identical
taur[c],taur_c,identical
aacald[c],aacald_c,identical
so3[c],so3_c,identical
succ[c],succ_c,identical
tre6p[c],tre6p_c,identical
udpg[c],udpg_c,identical
udp[c],udp_c,identical
udpgal[c],udpgal_c,identical
uri[c],uri_c,identical
ura[c],ura_c,identical
xu5p__L[c],xu5p-L_c,identical
xyl__D[c],xyl-D_c,identical
xylt[c],xylt_c,identical
icit[c],icit_c,identical
mal__L[c],mal-L_c,identical
gtp[c],gtp_c,identical
gdp[c],gdp_c,identical
pep[c],pep_c,identical
h[e],h_e,identical
4hglusa[c],4hglusa_c,identical
e4hglu[c],e4hglu_c,identical
4abut[c],4abut_c,identical
sucsal[c],sucsal_c,identical
4abutn[c],4abutn_c,identical
acglu[c],acglu_c,identical
acg5p[c],acg5p_c,identical
acorn[c],acorn_c,identical
acg5sa[c],acg5sa_c,identical
amet[c],amet_c,identical
ametam[c],ametam_c,identical
agm[c],agm_c,identical
cptrc[c],cptrc_c,identical
ptrc[c],ptrc_c,identical
urea[c],urea_c,identical
progly[c],progly_c,identical
gly[c],gly_c,identical
pro__L[c],pro-L_c,identical
15dap[c],15dap_c,identical
5mta[c],5mta_c,identical
na15dap[c],na15dap_c,identical
arg__L[c],arg-L_c,identical
citr__L[c],citr-L_c,identical
argsuc[c],argsuc_c,identical
fum[c],fum_c,identical
hco3[c],hco3_c,identical
cbp[c],cbp_c,identical
4h2oglt[c],4h2oglt_c,identical
glu5sa[c],glu5sa_c,identical
1pyr5c[c],1pyr5c_c,identical
glu5p[c],glu5p_c,identical
1p3h5c[c],1p3h5c_c,identical
4hpro_LT[c],4hpro-LT_c,identical
5mtr[c],5mtr_c,identical
orn[c],orn_c,identical
fad[c],fad_c,identical
fadh2[c],fadh2_c,identical
3oxoadp[c],3oxoadp_c,identical
4cml[c],4cml_c,identical
5odhf2a[c],5odhf2a_c,identical
CCbuttc[c],CCbuttc_c,identical
34dhbz[c],34dhbz_c,identical
vanlt[c],vanlt_c,identical
acac[c],acac_c,identical
aacoa[c],aacoa_c,identical
bhb[c],bhb_c,identical
ibcoa[c],ibcoa_c,identical
btcoa[c],btcoa_c,identical
ACPcda[c],ACPcda_c,identical
malACPcda[c],malACPcda_c,identical
hexACPcda[c],hexACPcda_c,identical
hxa[c],hxa_c,identical
hxcoa[c],hxcoa_c,identical
hx2coa[c],hx2coa_c,identical
ephxcoa[c],ephxcoa_c,identical
34hpp[c],34hpp_c,identical
4hmda[c],4hmda_c,identical
4hpglx[c],4hpglx_c,identical
4hpgly[c],4hpgly_c,identical
5mthf[c],5mthf_c,identical
meglu[c],meglu_c,identical
thf[c],thf_c,identical
ser__L[c],ser-L_c,identical
thr__L[c],thr-L_c,identical
trp__L[c],trp-L_c,identical
cdaint1[c],CDAint1_c,identical
cdaint2[c],CDAint2_c,identical
cda[c],CDA_c,identical
actACPcda[c],actACPcda_c,identical
3haACPcda[c],3haACPcda_c,identical
but2eACPcda[c],but2eACPcda_c,identical
butACPcda[c],butACPcda_c,identical
3ohexACPcda[c],3ohexACPcda_c,identical
3hhexACPcda[c],3hhexACPcda_c,identical
thex2eACPcda[c],thex2eACPcda_c,identical
3hdecACP[c],3hdecACP_c,identical
tdec2eACP[c],tdec2eACP_c,identical
3hundcaACP[c],3hundcaACP_c,identical
tundca2eACP[c],tundca2eACP_c,identical
3hddecACP[c],3hddecACP_c,identical
tddec2eACP[c],tddec2eACP_c,identical
3hcddec5eACP[c],3hcddec5eACP_c,identical
t3c5ddeceACP[c],t3c5ddeceACP_c,identical
3htridcaACP[c],3htridcaACP_c,identical
ttridca2eACP[c],ttridca2eACP_c,identical
3hmrsACP[c],3hmrsACP_c,identical
tmrs2eACP[c],tmrs2eACP_c,identical
3hcmrs7eACP[c],3hcmrs7eACP_c,identical
t3c7mrseACP[c],t3c7mrseACP_c,identical
