Met ID,New chebi annotation,Current chebi annotation,Old chebi in new (including secondary chebis)
1ddecg3p_c,"['CHEBI:72682', 'CHEBI:77589', 'CHEBI:17088', 'CHEBI:78166', 'CHEBI:16975', 'CHEBI:57970', 'CHEBI:62840', 'CHEBI:76629']",[None],False
1hdec9eg3p_c,"['CHEBI:77589', 'CHEBI:17088', 'CHEBI:78166', 'CHEBI:16975', 'CHEBI:57970', 'CHEBI:76629']",[None],False
1hdecg3p_c,"['CHEBI:77589', 'CHEBI:17088', 'CHEBI:78166', 'CHEBI:16975', 'CHEBI:57970', 'CHEBI:76629']",[None],False
1hepdecg3p_c,"['CHEBI:77589', 'CHEBI:17088', 'CHEBI:78166', 'CHEBI:16975', 'CHEBI:57970', 'CHEBI:76629']",['CHEBI:11227'],True
1iC14g3p_c,"['CHEBI:77589', 'CHEBI:17088', 'CHEBI:78166', 'CHEBI:16975', 'CHEBI:57970', 'CHEBI:76629']",['CHEBI:11227'],True
1iC15g3p_c,"['CHEBI:77589', 'CHEBI:17088', 'CHEBI:78166', 'CHEBI:16975', 'CHEBI:57970', 'CHEBI:76629']",['CHEBI:11227'],True
1iC16g3p_c,"['CHEBI:77589', 'CHEBI:17088', 'CHEBI:78166', 'CHEBI:16975', 'CHEBI:57970', 'CHEBI:76629']",['CHEBI:11227'],True
1iC17g3p_c,"['CHEBI:77589', 'CHEBI:17088', 'CHEBI:78166', 'CHEBI:16975', 'CHEBI:57970', 'CHEBI:76629']",['CHEBI:11227'],True
1iC18g3p_c,"['CHEBI:77589', 'CHEBI:17088', 'CHEBI:78166', 'CHEBI:16975', 'CHEBI:57970', 'CHEBI:76629']",['CHEBI:11227'],True
1odec11eg3p_c,"['CHEBI:77589', 'CHEBI:17088', 'CHEBI:78166', 'CHEBI:16975', 'CHEBI:57970', 'CHEBI:76629']",[None],False
1odecg3p_c,"['CHEBI:77589', 'CHEBI:74850', 'CHEBI:17088', 'CHEBI:78166', 'CHEBI:16975', 'CHEBI:57970', 'CHEBI:76629', 'CHEBI:74565']",[None],False
1p3h5c_c,"['CHEBI:6151', 'CHEBI:62612']",['CHEBI:6151'],True
1p4h2cbxl_c,"['CHEBI:16352', 'CHEBI:57745']",[None],False
1ptdecg3p_c,"['CHEBI:77589', 'CHEBI:17088', 'CHEBI:78166', 'CHEBI:16975', 'CHEBI:57970', 'CHEBI:76629']",['CHEBI:11227'],True
1pyr5c_c,"['CHEBI:17388', 'CHEBI:1372', 'CHEBI:15893', 'CHEBI:371']",['CHEBI:11297'],True
1tdec7eg3p_c,"['CHEBI:77589', 'CHEBI:17088', 'CHEBI:78166', 'CHEBI:16975', 'CHEBI:57970', 'CHEBI:76629']",[None],False
1tdecg3p_c,"['CHEBI:77589', 'CHEBI:62833', 'CHEBI:17088', 'CHEBI:78166', 'CHEBI:16975', 'CHEBI:57970', 'CHEBI:76629', 'CHEBI:72683']",[None],False
23btd_c,['CHEBI:16812'],[None],False
23camp_e,"['CHEBI:27844', 'CHEBI:60879']",['CHEBI:19212'],True
23ccmp_e,"['CHEBI:60877', 'CHEBI:27652']",['CHEBI:19213'],True
23cgmp_e,"['CHEBI:60837', 'CHEBI:28181']",['CHEBI:19214'],True
23cump_e,"['CHEBI:60873', 'CHEBI:28637']",['CHEBI:19215'],True
23dahxoc_c,[],[None],False
23ddhb_c,"['CHEBI:48968', 'CHEBI:15941', 'CHEBI:57576', 'CHEBI:58764']",[None],False
23dhacoa_c,"['CHEBI:34453', 'CHEBI:68471', 'CHEBI:67261']",['CHEBI:67261'],True
23dhb_c,"['CHEBI:36654', 'CHEBI:18026']",[None],False
23dhba_c,"['CHEBI:57417', 'CHEBI:15572']",[None],False
23dhdp_c,"['CHEBI:67139', 'CHEBI:48052', 'CHEBI:11421', 'CHEBI:67205']",['CHEBI:11421'],True
23dhmb_c,"['CHEBI:15684', 'CHEBI:49072']",['CHEBI:10966'],True
23dhmp_c,"['CHEBI:27512', 'CHEBI:49258']",['CHEBI:18646'],True
24dab_c,"['CHEBI:58761', 'CHEBI:48950', 'CHEBI:16028']",['CHEBI:13044'],True
24dclphen_c,['CHEBI:16738'],[None],False
24ddhrham_c,"['CHEBI:132125', 'CHEBI:131847']",[None],False
24dh5m6o24d_c,['CHEBI:81669'],[None],False
24dtcho_c,[],[None],False
25aics_c,"['CHEBI:18319', 'CHEBI:58443']",['CHEBI:11028'],True
25dc25chx_c,['CHEBI:28975'],[None],False
25dclpql_c,['CHEBI:27545'],[None],False
25dop_c,"['CHEBI:58136', 'CHEBI:17415']",['CHEBI:58136'],True
25drapp_c,"['CHEBI:59545', 'CHEBI:59546', 'CHEBI:58614', 'CHEBI:29114']",['CHEBI:11446'],True
26dap_LL_c,"['CHEBI:47031', 'CHEBI:57609', 'CHEBI:16026']",['CHEBI:13192'],True
26dap_LL_e,"['CHEBI:47031', 'CHEBI:57609', 'CHEBI:16026']",['CHEBI:13192'],True
26dap__M_c,"['CHEBI:57791', 'CHEBI:16488', 'CHEBI:30308']",['CHEBI:10598'],True
26dap__M_e,"['CHEBI:57791', 'CHEBI:16488', 'CHEBI:30308']",['CHEBI:10598'],True
26hxcho_c,['CHEBI:83860'],[None],False
2a5farapp_c,"['CHEBI:11515', 'CHEBI:57258']",['CHEBI:59548'],True
2a5ocyc1eccoa_c,"['CHEBI:18206', 'CHEBI:58410']",[None],False
2ahbut_c,"['CHEBI:49256', 'CHEBI:27681']",['CHEBI:18730'],True
2amac_c,"['CHEBI:76608', 'CHEBI:17123', 'CHEBI:76565', 'CHEBI:58020']",[None],False
2aobut_c,"['CHEBI:16944', 'CHEBI:78948', 'CHEBI:40673']",['CHEBI:11507'],False
2chloacr_c,"['CHEBI:73963', 'CHEBI:73935']",[None],False
2clprop_c,"['CHEBI:73934', 'CHEBI:73956']",[None],False
2cm3hppc_c,[],[None],False
2cpr5p_c,"['CHEBI:58613', 'CHEBI:29112']",['CHEBI:11186'],True
2dda7p_c,"['CHEBI:58394', 'CHEBI:18150']",['CHEBI:1053'],True
2ddara__L_c,"['CHEBI:35173', 'CHEBI:17647']",[None],False
2ddara_c,"['CHEBI:1060', 'CHEBI:16699']",[None],False
2ddg6p_c,"['CHEBI:15925', 'CHEBI:57569']",['CHEBI:1051'],True
2ddglcn_c,"['CHEBI:17032', 'CHEBI:57990']",['CHEBI:1059'],True
2ddglcn_e,"['CHEBI:17032', 'CHEBI:57990']",['CHEBI:1059'],True
2dg25hbz_c,"['CHEBI:29071', 'CHEBI:15623']",[None],False
2dglcn_c,"['CHEBI:57653', 'CHEBI:16138']",['CHEBI:1077'],True
2dh3dgal6p_c,"['CHEBI:17860', 'CHEBI:58298']",[None],False
2dh3dgal_c,"['CHEBI:17028', 'CHEBI:57989']",['CHEBI:1056'],True
2dh3dglc_c,"['CHEBI:17305', 'CHEBI:58098']",[None],False
2dh3dogal_c,"['CHEBI:75545', 'CHEBI:75840']",[None],False
2dh3dorham_c,"['CHEBI:58371', 'CHEBI:18078']",[None],False
2dhglcn_c,"['CHEBI:16808', 'CHEBI:27469']",[None],False
2dhp_c,"['CHEBI:11561', 'CHEBI:17094']",['CHEBI:1071'],True
2dmmq9_c,['CHEBI:28192'],['CHEBI:19547'],True
2dmmql9_c,[],[None],False
2dr1p_c,"['CHEBI:28542', 'CHEBI:58576']",['CHEBI:1081'],True
2dr5p_c,"['CHEBI:57651', 'CHEBI:16132']",['CHEBI:1082'],True
2fe1s_c,[],[None],False
2fe2s_c,['CHEBI:49601'],[None],False
2h3oppan_c,"['CHEBI:16992', 'CHEBI:57978']",['CHEBI:1123'],True
2h4oxbut_c,"['CHEBI:58075', 'CHEBI:17250']",[None],False
2hdhepdd_c,"['CHEBI:1162', 'CHEBI:82686', 'CHEBI:78626', 'CHEBI:78627']",[None],False
2hmc_c,"['CHEBI:28080', 'CHEBI:53146']",[None],False
2hmcnsad_c,"['CHEBI:17236', 'CHEBI:71198', 'CHEBI:71207', 'CHEBI:58068']",[None],False
2hxmp_e,['CHEBI:16464'],[None],False
2hymeph_c,['CHEBI:16464'],['CHEBI:15059'],True
2improp_c,"['CHEBI:44400', 'CHEBI:77456']",[None],False
2ins_c,['CHEBI:17811'],['CHEBI:11435'],True
2ippm_c,"['CHEBI:58085', 'CHEBI:17275']",['CHEBI:11604'],True
2kmb_c,"['CHEBI:16723', 'CHEBI:33574']",[None],False
2maacoa_c,"['CHEBI:57335', 'CHEBI:15476']",['CHEBI:11613'],True
2mahmp_c,"['CHEBI:16629', 'CHEBI:57841']",['CHEBI:11612'],True
2mb2coa_c,"['CHEBI:15478', 'CHEBI:11614', 'CHEBI:57337', 'CHEBI:57260']",['CHEBI:10949'],True
2mbcoa_c,"['CHEBI:90222', 'CHEBI:88166']",['CHEBI:11616'],False
2mborn_c,['CHEBI:61987'],[None],False
2me4p_c,"['CHEBI:17764', 'CHEBI:58262']",['CHEBI:1030'],True
2mecdp_c,"['CHEBI:58483', 'CHEBI:18425']",['CHEBI:1029'],True
2mfumcoa_c,"['CHEBI:27969', 'CHEBI:75635']",[None],False
2mop_c,"['CHEBI:16256', 'CHEBI:57700']",[None],False
2mp2coa_c,"['CHEBI:27754', 'CHEBI:62500']",['CHEBI:1208'],True
2mygydpp_c,"['CHEBI:61984', 'CHEBI:61982']",[None],False
2obut_c,"['CHEBI:30831', 'CHEBI:16763']",['CHEBI:11636'],True
2ohed_c,"['CHEBI:48061', 'CHEBI:17205', 'CHEBI:48062']",[None],False
2oph_c,['CHEBI:40407'],[None],False
2oxoadp_c,"['CHEBI:15753', 'CHEBI:57499']",['CHEBI:11635'],True
2oxpaccoa_c,"['CHEBI:63252', 'CHEBI:63251']",['CHEBI:63252'],True
2p4c2me_c,"['CHEBI:57919', 'CHEBI:16840']",['CHEBI:11649'],True
2pg_c,"['CHEBI:58289', 'CHEBI:17835']",['CHEBI:11651'],True
2pglyc_c,"['CHEBI:58033', 'CHEBI:17150', 'CHEBI:19763']",[None],False
2plac__L_c,"['CHEBI:59433', 'CHEBI:59906', 'CHEBI:45013']",['CHEBI:340863'],False
2ppoh_c,['CHEBI:17824'],[None],False
2pyr46dcox_c,"['CHEBI:17872', 'CHEBI:58304']",[None],False
2sephchc_c,"['CHEBI:58818', 'CHEBI:50271']",['CHEBI:50271'],True
2shchc_c,"['CHEBI:39564', 'CHEBI:58689', 'CHEBI:1277', 'CHEBI:57272']",['CHEBI:11656'],False
33biflav_c,"['CHEBI:58871', 'CHEBI:51836', 'CHEBI:77877']",[None],False
34dhbz_c,"['CHEBI:36241', 'CHEBI:36062']",['CHEBI:11694'],True
34dhcinm_c,"['CHEBI:57770', 'CHEBI:16433', 'CHEBI:36281']",[None],False
34hpp_c,"['CHEBI:15999', 'CHEBI:36242']",[None],False
35cgmp_c,"['CHEBI:16356', 'CHEBI:57746']",['CHEBI:11675'],True
36ahgalfur_c,[],[None],False
36ahgalpyr_c,['CHEBI:83433'],[None],False
38biflav_c,"['CHEBI:58872', 'CHEBI:77840', 'CHEBI:51837']",[None],False
3aib_c,"['CHEBI:16320', 'CHEBI:57731', 'CHEBI:49097']",[None],False
3ambutcoa_c,"['CHEBI:15512', 'CHEBI:57366']",[None],False
3amp_e,"['CHEBI:60880', 'CHEBI:28931']",['CHEBI:1333'],True
3c2hmp_c,"['CHEBI:43468', 'CHEBI:35121']",['CHEBI:11760'],False
3c3hmp_c,"['CHEBI:1178', 'CHEBI:35128']",['CHEBI:1115'],False
3c4mop_c,"['CHEBI:17214', 'CHEBI:1467']",['CHEBI:11765'],True
3choptpp_c,['CHEBI:1463'],['CHEBI:1463'],True
3clbxal_c,[],[None],False
3clbzal_c,[],[None],False
3clbzat_c,"['CHEBI:19984', 'CHEBI:49410']",[None],False
3cmp_e,"['CHEBI:53013', 'CHEBI:60875']",['CHEBI:1335'],True
3dclcatc_c,['CHEBI:15788'],[None],False
3dhq_c,"['CHEBI:32364', 'CHEBI:17947']",['CHEBI:11781'],True
3dhsk_c,"['CHEBI:30918', 'CHEBI:16630']",['CHEBI:11782'],True
3dm4hdppyr_c,"['CHEBI:31113', 'CHEBI:74408']",[None],False
3dma4hbz_c,"['CHEBI:74155', 'CHEBI:31111']",[None],False
3dma4hma_c,['CHEBI:31112'],[None],False
3fe4s_c,[],[None],False
3gmp_e,"['CHEBI:60732', 'CHEBI:37120', 'CHEBI:28072']",['CHEBI:24447'],True
3h4oxbut_c,[],[None],False
3haACP_c,['CHEBI:84648'],[None],False
3haACPcda_c,[],[None],False
3haACPredQ_c,[],[None],False
3hadpcoa_c,"['CHEBI:70990', 'CHEBI:132183', 'CHEBI:71038', 'CHEBI:34002']",['CHEBI:34002'],True
3hanthrn_c,"['CHEBI:36559', 'CHEBI:61149', 'CHEBI:61150', 'CHEBI:15793']",['CHEBI:11800'],True
3hbcoa__R_c,"['CHEBI:15452', 'CHEBI:57315']","['CHEBI:10879', 'CHEBI:7315']",False
3hbcoa_c,"['CHEBI:57316', 'CHEBI:15453']",['CHEBI:11048'],True
3hcddec5eACP_c,[],[None],False
3hcinnm_c,"['CHEBI:32357', 'CHEBI:47927', 'CHEBI:47928', 'CHEBI:47925']",[None],False
3hcmrs7eACP_c,[],[None],False
3hcpalm9eACP_c,[],[None],False
3hcvac11eACP_c,[],[None],False
3hd4oxhxcoa_c,['CHEBI:20052'],[None],False
3hd5ohexa_c,"['CHEBI:20051', 'CHEBI:37032']",[None],False
3hdcoa_c,"['CHEBI:62616', 'CHEBI:28325']",['CHEBI:18779'],True
3hddcoa_c,"['CHEBI:27668', 'CHEBI:62558']",['CHEBI:18751'],True
3hddecACP_c,['CHEBI:325'],['CHEBI:325'],True
3hddecACPredQ_c,['CHEBI:325'],['CHEBI:325'],True
3hdecACP_c,[],[None],False
3hdecACPredQ_c,[],[None],False
3hdkynu_c,[],[None],False
3hhcoa_c,"['CHEBI:62075', 'CHEBI:28276']",['CHEBI:18780'],True
3hhdcoa_c,"['CHEBI:62613', 'CHEBI:27402']",['CHEBI:18752'],True
3hhexACP_c,['CHEBI:326'],['CHEBI:326'],True
3hhexACPcda_c,['CHEBI:326'],['CHEBI:326'],True
3hhexACPredQ_c,['CHEBI:326'],['CHEBI:326'],True
3hib_c,"['CHEBI:37373', 'CHEBI:62638']",[None],False
3hibutcoa_c,"['CHEBI:62611', 'CHEBI:28259']",['CHEBI:18753'],True
3hmbcoa_c,"['CHEBI:15449', 'CHEBI:57312']",['CHEBI:10871'],True
3hmoa_c,"['CHEBI:17667', 'CHEBI:11812']",['CHEBI:11812'],True
3hmop_c,"['CHEBI:34008', 'CHEBI:49257']",['CHEBI:49257'],True
3hmrsACP_c,[],['CHEBI:76400'],False
3hocoa_c,"['CHEBI:62617', 'CHEBI:28632']",['CHEBI:18750'],True
3hoctACP_c,[],[None],False
3hoctACPredQ_c,[],[None],False
3hoctaACP_c,[],['CHEBI:80387'],False
3hodcoa_c,"['CHEBI:50577', 'CHEBI:50583', 'CHEBI:87561', 'CHEBI:71408']",['CHEBI:50577'],True
3hpalmACP_c,[],[None],False
3hpcoa_c,"['CHEBI:27762', 'CHEBI:58528', 'CHEBI:20081']",['CHEBI:58528'],True
3hpppn_c,"['CHEBI:57277', 'CHEBI:1427']",[None],False
3htdcoa_c,"['CHEBI:62614', 'CHEBI:27466']",['CHEBI:18754'],True
3hxquin_c,['CHEBI:43310'],[None],False
3ig3p_c,"['CHEBI:51793', 'CHEBI:58866']",['CHEBI:11201'],False
3mb2coa_c,"['CHEBI:15486', 'CHEBI:57344']",['CHEBI:11853'],True
3mbzalc_c,['CHEBI:27995'],[None],False
3metbzal_c,['CHEBI:28476'],[None],False
3mgcoa_c,[],['CHEBI:11860'],False
3mob_c,"['CHEBI:132177', 'CHEBI:11851', 'CHEBI:16530']",['CHEBI:11851'],True
3mop_c,"['CHEBI:35146', 'CHEBI:15614']",['CHEBI:10888'],True
3oc4en24ocoa_c,"['CHEBI:86412', 'CHEBI:87139']",[None],False
3ocd26ocoa_c,"['CHEBI:86414', 'CHEBI:87141']",[None],False
3ocddec5eACP_c,[],[None],False
3ocdncoa_c,"['CHEBI:87140', 'CHEBI:86413']",[None],False
3oce26ocoa_c,"['CHEBI:84666', 'CHEBI:83819']",[None],False
3ocl4e26ocoa_c,[],[None],False
3ocmrs7eACP_c,[],[None],False
3ocpalm9eACP_c,[],[None],False
3ocvac11eACP_c,[],[None],False
3odcoa_c,"['CHEBI:28528', 'CHEBI:62548']",['CHEBI:1633'],True
3oddcoa_c,"['CHEBI:27868', 'CHEBI:62615']",['CHEBI:1636'],True
3oddecACP_c,['CHEBI:1637'],['CHEBI:1637'],True
3oddecACPredQ_c,['CHEBI:1637'],['CHEBI:1637'],True
3odecACP_c,['CHEBI:1634'],['CHEBI:1634'],True
3odecACPredQ_c,['CHEBI:1634'],['CHEBI:1634'],True
3ohcoa_c,"['CHEBI:62418', 'CHEBI:27648']",['CHEBI:1641'],True
3ohdcoa_c,"['CHEBI:15491', 'CHEBI:57349']",['CHEBI:11875'],True
3ohexACP_c,['CHEBI:1642'],['CHEBI:1642'],True
3ohexACPcda_c,['CHEBI:1642'],['CHEBI:1642'],True
3ohexACPredQ_c,['CHEBI:1642'],['CHEBI:1642'],True
3ohodcoa_c,"['CHEBI:50571', 'CHEBI:71407']",['CHEBI:50571'],True
3omrsACP_c,['CHEBI:1655'],['CHEBI:1655'],True
3omrsACPredL_c,['CHEBI:1655'],['CHEBI:1655'],True
3oocoa_c,"['CHEBI:28264', 'CHEBI:62619']",['CHEBI:1645'],True
3ooctACP_c,['CHEBI:1646'],['CHEBI:1646'],True
3ooctACPredQ_c,['CHEBI:1646'],['CHEBI:1646'],True
3ooctdACP_c,['CHEBI:80386'],['CHEBI:80386'],True
3opalmACP_c,['CHEBI:1639'],['CHEBI:1639'],True
3opcoa_c,"['CHEBI:84996', 'CHEBI:28673']",['CHEBI:1652'],True
3ophb_c,"['CHEBI:50116', 'CHEBI:1617']",[None],False
3otdcoa_c,"['CHEBI:62543', 'CHEBI:28726']",['CHEBI:1654'],True
3ovobenz_c,"['CHEBI:76981', 'CHEBI:77107']",[None],False
3oxdhscoa_c,"['CHEBI:63255', 'CHEBI:63253']",['CHEBI:63253'],True
3oxoadp_c,"['CHEBI:15775', 'CHEBI:37440']",['CHEBI:11870'],True
3pg_c,"['CHEBI:58272', 'CHEBI:17794']",['CHEBI:11879'],True
3php_c,"['CHEBI:18110', 'CHEBI:30933']",['CHEBI:11883'],True
3psme_c,"['CHEBI:57701', 'CHEBI:16257']",['CHEBI:12094'],True
3spyr_c,"['CHEBI:57940', 'CHEBI:16894']",[None],False
3sulfcat_c,"['CHEBI:33565', 'CHEBI:27802']",[None],False
3sulflac_c,"['CHEBI:58738', 'CHEBI:48291']",[None],False
3sulprop_c,[],[None],False
3ump_e,"['CHEBI:28895', 'CHEBI:60784']",['CHEBI:1361'],True
3uribut_c,[],[None],False
44dpcop_c,['CHEBI:62450'],[None],False
44dpcopd_c,[],[None],False
45secdop_c,"['CHEBI:16098', 'CHEBI:57639']",[None],False
4aabutn_c,"['CHEBI:17645', 'CHEBI:11951']",[None],False
4abut_c,"['CHEBI:59888', 'CHEBI:30566', 'CHEBI:16865']",['CHEBI:11961'],True
4abut_e,"['CHEBI:59888', 'CHEBI:30566', 'CHEBI:16865']",['CHEBI:11961'],True
4abutn_c,"['CHEBI:58264', 'CHEBI:17769']",['CHEBI:11960'],True
4abz_c,"['CHEBI:30753', 'CHEBI:17836']",['CHEBI:113372'],True
4adcho_c,"['CHEBI:18198', 'CHEBI:58406', 'CHEBI:35181']",['CHEBI:11956'],True
4ahmmp_c,['CHEBI:16892'],['CHEBI:11957'],True
4ahmmp_e,['CHEBI:16892'],['CHEBI:11957'],True
4ampm_c,"['CHEBI:58354', 'CHEBI:18032']",['CHEBI:11954'],True
4c2me_c,"['CHEBI:16578', 'CHEBI:57823']",['CHEBI:11938'],True
4carbzal_c,[],[None],False
4cboxald_c,[],[None],False
4cml_c,"['CHEBI:57979', 'CHEBI:16993']",['CHEBI:1033'],True
4crsol_c,['CHEBI:17847'],['CHEBI:11981'],True
4fe4s_c,['CHEBI:33725'],[None],False
4fumacac_c,"['CHEBI:18034', 'CHEBI:30907']",['CHEBI:11988'],True
4gglutbut_c,"['CHEBI:61521', 'CHEBI:61508']",[None],False
4guanbut_c_c,"['CHEBI:57486', 'CHEBI:86392', 'CHEBI:15728', 'CHEBI:86564']",[None],False
4gubuty_c_c,"['CHEBI:58365', 'CHEBI:18062']",[None],False
4h2mohexn_c,['CHEBI:81669'],[None],False
4h2oglt_c,"['CHEBI:36148', 'CHEBI:4083', 'CHEBI:62213', 'CHEBI:17742', 'CHEBI:30923']",['CHEBI:11993'],True
4h2opntn_c,"['CHEBI:58222', 'CHEBI:17655']",['CHEBI:11994'],True
4hambz_c,[],[None],False
4hbald_c,['CHEBI:17597'],[None],False
4hbutcoa_c,"['CHEBI:28522', 'CHEBI:58574']",[None],False
4hbz_c,"['CHEBI:17879', 'CHEBI:30763']",[None],False
4hdthbiop_c,[],[None],False
4hglusa_c,"['CHEBI:27809', 'CHEBI:62637']",['CHEBI:21213'],True
4hmda_c,"['CHEBI:32802', 'CHEBI:17210']",[None],False
4hpglx_c,"['CHEBI:28719', 'CHEBI:58586']",['CHEBI:58586'],True
4hpgly_c,['CHEBI:31755'],[None],False
4hphac_c,"['CHEBI:31128', 'CHEBI:48999', 'CHEBI:18101']",[None],False
4hpro_LT_c,"['CHEBI:58375', 'CHEBI:18095']",['CHEBI:10713'],False
4hthr_c,"['CHEBI:60904', 'CHEBI:28330']",['CHEBI:1853'],True
4ip7moxo_c,['CHEBI:228'],[None],False
4ipropmo_c,['CHEBI:233'],[None],False
4izp_c,"['CHEBI:77893', 'CHEBI:11041', 'CHEBI:57255', 'CHEBI:27384']",['CHEBI:11041'],True
4mbzalc_c,['CHEBI:1895'],[None],False
4mbzald_c,['CHEBI:28617'],[None],False
4mlacac_c,"['CHEBI:47904', 'CHEBI:133872', 'CHEBI:17105']",['CHEBI:12018'],True
4mop_c,"['CHEBI:17865', 'CHEBI:48430']",['CHEBI:12020'],True
4mpetz_c,"['CHEBI:17857', 'CHEBI:58296']",['CHEBI:12023'],True
4nitrobz_c,['CHEBI:262350'],[None],False
4nitrocc_c,"['CHEBI:16318', 'CHEBI:57730']",[None],False
4nitroph_c,"['CHEBI:57917', 'CHEBI:16836']",[None],False
4pasp_c,"['CHEBI:15836', 'CHEBI:57535', 'CHEBI:30407']",['CHEBI:12042'],True
4per_c,"['CHEBI:49003', 'CHEBI:49055', 'CHEBI:58766']",['CHEBI:1924'],True
4ppan_c,"['CHEBI:15905', 'CHEBI:10986', 'CHEBI:20891', 'CHEBI:12886']",['CHEBI:10986'],True
4ppcys_c,"['CHEBI:59458', 'CHEBI:15769']",['CHEBI:10987'],True
4r5au_c,['CHEBI:15934'],['CHEBI:11929'],True
4sulbza_c,"['CHEBI:18256', 'CHEBI:11987']",[None],False
4sulfbenz_c,"['CHEBI:20476', 'CHEBI:16309', 'CHEBI:30789']",[None],False
4sulfbzalc_c,"['CHEBI:18312', 'CHEBI:11944']",[None],False
56dthm_c,['CHEBI:27468'],[None],False
56dura_c,['CHEBI:15901'],[None],False
5a2opntn_c,"['CHEBI:17572', 'CHEBI:49268', 'CHEBI:58802']",[None],False
5aizc_c,"['CHEBI:58564', 'CHEBI:28413', 'CHEBI:77657', 'CHEBI:41336']",['CHEBI:12103'],True
5am3ohex_c,"['CHEBI:58523', 'CHEBI:27713']",[None],False
5aop_c,"['CHEBI:132970', 'CHEBI:356416', 'CHEBI:17549', 'CHEBI:12109']",['CHEBI:12109'],True
5aprbu_c,"['CHEBI:18247', 'CHEBI:58421']",['CHEBI:12107'],True
5apru_c,"['CHEBI:58453', 'CHEBI:18337']",['CHEBI:12108'],True
5aptn_c,"['CHEBI:15887', 'CHEBI:356010', 'CHEBI:86394']",['CHEBI:12111'],True
5c2oh3ed_c,"['CHEBI:87509', 'CHEBI:87491']",[None],False
5cmhm_c,"['CHEBI:47961', 'CHEBI:15376', 'CHEBI:47960', 'CHEBI:2040']",[None],False
5cmhmsa_c,"['CHEBI:58030', 'CHEBI:17142']",[None],False
5dglcn_c,"['CHEBI:58143', 'CHEBI:17426']",['CHEBI:12120'],True
5dglcn_e,"['CHEBI:58143', 'CHEBI:17426']",['CHEBI:12120'],True
5dh4dglc_c,"['CHEBI:42819', 'CHEBI:35453', 'CHEBI:16369']",['CHEBI:12117'],True
5doglcn_c,"['CHEBI:58852', 'CHEBI:50923']",['CHEBI:58852'],True
5drib_c,['CHEBI:62012'],[None],False
5fthf_c,"['CHEBI:63606', 'CHEBI:57457', 'CHEBI:15640', 'CHEBI:65340']",['CHEBI:12127'],True
5g2oxpt_c,"['CHEBI:28116', 'CHEBI:18253', 'CHEBI:58489']",[None],False
