Met ID,New chebi annotation,Current chebi annotation,Old chebi in new (including secondary chebis)
10fthf_c,"['CHEBI:57454', 'CHEBI:15637']",['CHEBI:11304'],True
12da3oaglcpyr_c,['CHEBI:17670'],[None],False
12dgr120_c,"['CHEBI:49172', 'CHEBI:18035', 'CHEBI:17815']",[None],False
12dgr140_c,"['CHEBI:49172', 'CHEBI:18035', 'CHEBI:17815']",[None],False
12dgr141_c,"['CHEBI:49172', 'CHEBI:18035', 'CHEBI:17815']",[None],False
12dgr150_c,"['CHEBI:49172', 'CHEBI:18035', 'CHEBI:17815']",['CHEBI:11150'],True
12dgr160_c,"['CHEBI:49172', 'CHEBI:18035', 'CHEBI:17815']",[None],False
12dgr161_c,"['CHEBI:49172', 'CHEBI:18035', 'CHEBI:17815']",[None],False
12dgr170_c,"['CHEBI:49172', 'CHEBI:18035', 'CHEBI:17815']",['CHEBI:11150'],True
12dgr180_c,"['CHEBI:49172', 'CHEBI:18035', 'CHEBI:17815']",[None],False
12dgr181_c,"['CHEBI:49172', 'CHEBI:18035', 'CHEBI:17815']",[None],False
12dgrai150_c,"['CHEBI:49172', 'CHEBI:18035', 'CHEBI:17815']",['CHEBI:11150'],True
12dgrai170_c,"['CHEBI:49172', 'CHEBI:18035', 'CHEBI:17815']",['CHEBI:11150'],True
12dgri140_c,"['CHEBI:49172', 'CHEBI:18035', 'CHEBI:17815']",['CHEBI:11150'],True
12dgri150_c,"['CHEBI:49172', 'CHEBI:18035', 'CHEBI:17815']",['CHEBI:11150'],True
12dgri160_c,"['CHEBI:49172', 'CHEBI:18035', 'CHEBI:17815']",['CHEBI:11150'],True
12dgri170_c,"['CHEBI:49172', 'CHEBI:18035', 'CHEBI:17815']",['CHEBI:11150'],True
12dgri180_c,"['CHEBI:49172', 'CHEBI:18035', 'CHEBI:17815']",['CHEBI:11150'],True
13dpg_c,"['CHEBI:57604', 'CHEBI:16001']",['CHEBI:11881'],True
14glucan_c,"['CHEBI:25140', 'CHEBI:18398']",['CHEBI:22539'],False
14glucan_e,"['CHEBI:25140', 'CHEBI:18398']",['CHEBI:22539'],False
14hdphet_c,[],[None],False
15cphyt_c,['CHEBI:27787'],[None],False
15dap_c,"['CHEBI:58384', 'CHEBI:18127']",['CHEBI:13928'],True
15dap_e,"['CHEBI:58384', 'CHEBI:18127']",['CHEBI:13928'],True
1Dgali_c,['CHEBI:17505'],['CHEBI:11203'],True
1Dgali_e,['CHEBI:17505'],[None],False
1acpc_c,"['CHEBI:30526', 'CHEBI:58360', 'CHEBI:18053']",[None],False
1aiC15g3p_c,"['CHEBI:77589', 'CHEBI:17088', 'CHEBI:78166', 'CHEBI:16975', 'CHEBI:57970', 'CHEBI:76629']",['CHEBI:11227'],True
1aiC17g3p_c,"['CHEBI:77589', 'CHEBI:17088', 'CHEBI:78166', 'CHEBI:16975', 'CHEBI:57970', 'CHEBI:76629']",['CHEBI:11227'],True
