index,Met ID,MNX 1,MNX 2
208,anhgm3p_c,MNXM63489,
209,anhgm4p_c,MNXM63488,
210,anhm3p_c,MNXM32389,
211,anhm4p_c,MNXM5405,
212,anhm_c,MNXM90585,
213,apoACP_c,MNXM91491,MNXM2214
214,apoACPact_c,MNXM91491,
215,apoACPcda_c,MNXM91491,
216,apoACPcpk_c,,
217,apoACPredL_c,MNXM91491,
218,apoACPredN_c,MNXM91491,
219,apoACPredQ_c,MNXM91491,
220,apoPCPredO_c,MNXM91491,
221,appl_c,MNXM18844,
222,arg__D_c,MNXM1552,
223,arg__L_c,MNXM70,
224,arg__L_e,MNXM70,
225,argsuc_c,MNXM550,MNXM722743
226,ascb__L_c,MNXM129,
227,asn__L_c,MNXM147,
228,asn__L_e,MNXM147,
229,aso4_c,MNXM970,
230,asp__L_c,MNXM42,
231,asp__L_e,MNXM42,
232,atp_c,MNXM3,
233,bfrn_c,MNXM4121,
234,bgalac__D_c,MNXM693,
235,bglycogen_c,MNXM8348,
236,bmoco1gdp_c,MNXM148110,
237,bmoco_c,MNXM147053,
238,bmocogdp_c,MNXM147054,
239,btamp_c,MNXM2351,MNXM722791
240,btn_c,MNXM304,
241,btn_e,MNXM304,
242,butACP_c,MNXM2645,MNXM90458
243,bwco1gdp_c,MNXM148530,
244,bwco_c,MNXM148529,
245,bwcogdp_c,MNXM149209,
246,bzamid_c,MNXM5065,
247,bzsuccoa__R_c,MNXM722802,
248,bzsuccoa_c,MNXM722802,MNXM5635
249,ca2_e,MNXM128,
250,carnitine_c,MNXM145540,
251,catechol_c,MNXM181,
252,cbi_c,MNXM1549,MNXM47455
253,cbi_e,MNXM1549,MNXM47455
254,cbm_c,MNXM742,
255,cda_c,,
256,cdaint1_c,,
257,cddec5eACP_c,MNXM163784,
258,cdec3eACP_c,MNXM7186,
259,cdp4dh36ddglc_c,MNXM148139,MNXM4514
260,cdpdddecg_c,MNXM201,MNXM4507
261,cdpdhdec9eg_c,MNXM4508,MNXM201
262,cdpdhdecg_c,MNXM3232,MNXM201
263,cdpdodec11eg_c,MNXM201,MNXM4509
264,cdpdodecg_c,MNXM201,MNXM45856
265,cdpdtdec7eg_c,MNXM201,MNXM4511
266,cdpdtdecg_c,MNXM4512,MNXM201
267,cellb_c,MNXM1142,
268,cellb_e,MNXM1142,
269,cellul_e,,
270,chitin_e,MNXM92167,
271,chlld_c,MNXM39843,MNXM631
272,chol_c,MNXM90,
273,chol_e,MNXM90,
274,cholate_c,MNXM450,
275,chtbs_c,MNXM1680,MNXM722863
276,chtbs_e,MNXM1680,MNXM722863
277,cigam_c,MNXM92226,MNXM1704
278,cit_c,MNXM131,
279,cit_e,MNXM131,
280,citac_c,MNXM2356,
281,citm__R_c,MNXM1421,
282,citr__L_c,MNXM211,
283,citr__L_e,MNXM211,
284,cl_c,MNXM43,
285,cl_e,MNXM43,
286,clpn120_c,MNXM722717,MNXM5078
287,clpn140_c,MNXM83974,MNXM722717
288,clpn141_c,MNXM722717,MNXM7149
289,clpn150_c,MNXM722717,
290,clpn160_c,MNXM722717,MNXM45654
291,clpn161_c,MNXM722717,MNXM4501
292,clpn170_c,MNXM722717,
293,clpn180_c,MNXM722717,MNXM5079
294,clpn181_c,MNXM4503,MNXM722717
295,clpnai150_c,MNXM722717,
296,clpnai170_c,MNXM722717,
297,clpni140_c,MNXM722717,
298,clpni150_c,MNXM722717,
299,clpni160_c,MNXM722717,
300,clpni170_c,MNXM722717,
301,clpni180_c,MNXM722717,
302,cmp_c,MNXM31,
303,cmp_e,MNXM31,
304,co2_c,MNXM13,
305,co2_e,MNXM13,
306,copre2_c,MNXM47447,MNXM1420
307,cpkepox_c,,
308,cpkepox_e,,
309,cpmp_c,MNXM1385,
310,creat_c,MNXM1470,MNXM400
311,crtn_c,MNXM1470,MNXM163786
312,cu2_c,MNXM632,MNXM1656
313,cu2_e,MNXM632,MNXM1656
314,cu_c,MNXM3568,MNXM1656
315,cu_e,MNXM3568,MNXM1656
316,cyan_c,MNXM254,
317,cys__L_c,MNXM55,
318,cys__L_e,MNXM55,
319,cytd_c,MNXM338,
320,cytd_e,MNXM338,
321,dalua_c,,
322,dcaACP_c,MNXM1473,MNXM90236
323,dca_c,MNXM162295,MNXM1043
324,dcacoa_c,MNXM162283,MNXM486
325,ddcaACP_c,MNXM5723,MNXM89851
326,ddca_c,MNXM162258,MNXM402
327,ddcap_c,MNXM147470,
328,dha_c,MNXM460,
329,dha_e,MNXM460,
330,dhdascb_c,MNXM250,MNXM722718
331,dhdcarn_c,MNXM1637,
332,dhkdhqn_c,MNXM722966,
333,dhmpt_c,MNXM993,MNXM148224
334,dhnpt_c,MNXM162359,
335,dmbzid_c,MNXM1531,MNXM50981
336,dolichol_c,MNXM278,MNXM797
337,dolmanp_c,MNXM296,
338,donor_c,MNXM24,
339,drib_c,MNXM2474,
340,drib_e,MNXM2474,
341,dtdp26ddgh2e2u_c,MNXM6260,
342,dtdp4d6dm_c,MNXM722893,MNXM2371
343,dtdprmn_c,MNXM51657,
344,dvpchlda_c,MNXM90438,MNXM147096
345,egmeACP_c,MNXM11489,
346,enter_c,MNXM883,
347,enter_e,MNXM883,
348,ephxcoa_c,,
349,episz_c,MNXM1296,
350,epm_c,MNXM52342,
351,epm_e,MNXM52342,
352,epmeACP_c,MNXM11490,
353,etha_c,MNXM218,
354,etha_e,MNXM218,
355,etoh_c,MNXM303,
356,etoh_e,MNXM303,
357,f420_0_c,MNXM2374,MNXM722825
358,f420red_c,MNXM520,
359,f6p_c,MNXM155029,
360,fad_c,MNXM33,
361,fald_c,MNXM56,
362,fald_e,MNXM56,
363,fcoelchl_c,,
364,fcoelchl_e,,
365,fdp_B_c,MNXM40991,
366,feroxB_c,MNXM53317,MNXM162837
367,feroxB_e,MNXM53317,MNXM162837
368,feroxBfe_c,MNXM53317,MNXM146391
369,feroxBfe_e,MNXM53317,MNXM146391
370,feroxE_c,MNXM53317,MNXM97708
371,feroxE_e,MNXM53317,MNXM97708
372,feroxEfe_c,MNXM53317,MNXM146392
373,feroxEfe_e,MNXM53317,MNXM146392
374,ficytc_c,MNXM5749,
375,focytc_c,MNXM746,MNXM5750
376,forglu_c,MNXM496,MNXM90092
377,fpram_c,MNXM479745,MNXM568
378,fru_c,MNXM1380,
379,fru_e,MNXM1380,
380,fum_c,MNXM93,
381,fum_e,MNXM93,
382,g15lac_c,MNXM339,
383,g3p_c,MNXM74,
384,g3pc_c,MNXM367,
385,g3pc_e,MNXM367,
386,g3ps_c,MNXM97117,
387,g3ps_e,MNXM97117,
388,gal_aD_c,MNXM390,
389,gal_c,MNXM390,
390,gal_e,MNXM390,
