index,Met ID,MNX 1,MNX 2
805,udpgal_c,MNXM89795,MNXM722709
806,udpglcur_c,MNXM87,
807,ugmda_c,MNXM1954,MNXM88443
808,um4p_c,MNXM88444,MNXM147329
809,undcaACP_c,,
810,up_c,MNXM148632,
811,upn_c,,
812,ura_c,MNXM158,
813,ura_e,MNXM158,
814,urdglyc_c,MNXM490,
815,urea_c,MNXM117,
816,urea_e,MNXM117,
817,val__L_c,MNXM199,
818,val__L_e,MNXM199,
819,wco_c,MNXM148528,
820,xmp_c,MNXM89160,
821,xmp_e,MNXM89160,
822,xyhex3u14lac_c,MNXM1838,
823,xyl__D_c,MNXM90941,
824,xyl__D_e,MNXM90941,
825,xylan_e,,
826,xylt_c,MNXM510,
827,xylt_e,MNXM510,
828,xylu__D_c,MNXM597,
829,xylu__L_c,MNXM1282,
830,ycpk_e,,
831,zn2_c,MNXM149,
832,zn2_e,MNXM149,
