RxnID_sink,Sink_rnx_formula,Lower_bound,Upper_Bound
HISpep_SINK,phis_L_c->,0,1000
ASCpts_SINK,asc6p_c[c]->,0,1000
Telu_SINK,Tel_c[c]->,0,1000
CCBUTTCt_SINK,CCbuttc_c[c]->,0,1000
FBae1_DEMAND,fb_c[c]->,0,1000
FUSt_SINK, fus_c[c]->,0,1000
INDIGt_SINK,indig_c[c]->,0,1000
TPPt_SINK,TPP_c[c]->,0,1000
PRNt_SINK,prn_c[c]->,0,1000
MEMYt_SINK,memy_c[c ]->,0,1000
Cyt_SINK,cy_c[c] ->,0,1000
ENTBACTINt_DEMAND,entbactin_c[c]->,0,1000
OXOFORMATEt,oxoformate_c[c]->,0,1000
CATECHOLopt_SINK,catechol_c[c]->,0,1000
TELt_SINK,tel_c[c]->,0,1000
DRUBabc_SINK,deunorubicin_c[c] ->,0,1000
RHMNabc_SINK,rmn_c[c]->,0,1000
DRUBabc_SINK,drub_c[c]->,0,1000
GLUCSabc_SINK,glucs_c[c]->,0,1000
PHOSabc_SINK, phos_c[c]->,0,1000
FENTEROabc_SINK,fentero_c[c]->,0,1000
COBALabc_SINK,cobal_c[c] ->,0,1000
OMYCINabc_SINK,omycin_c[c]->,0,1000
TOLUENEabc_SINK,tol_c[c]->,0,1000
XYLBabc _SINK,xylb_c[c]->,0,1000
ASO3abc_SINK,aso3_c[c]->,0,1000
