,Gene association,Rxn_Formula,reversibility,lb,ub
HISpep,G_SCO1391,pep[c] + his__L[e] ->  pyr[c] + phis__L[c] ,false,0,1000
ASCpts,G_SCO0136,pep[c] + asc__L[e]  ->  pyr[c] + asc6p[c],false,0,1000
Telu,G_SCO0562 or G_SCO0892 or G_SCO1963 or G_SCO2366 or G_SCO6313,Telu[e]  <=>  Telu[c] ,true,-1000,1000
FBae1,G_SCO0513,fb[c] ->  fb[e],false,0,1000
FUSt,G_SCO0791 or G_SCO0796 or G_SCO1099 or G_SCO1118 or G_SCO1985 or G_SCO7159 or G_SCO7318 ,fus[e]  <=>  fus[c],true,-1000,1000
INDIGt,G_SCO2646,indig[e]  <=>  indig[c],true,-1000,1000
TPPt,G_SCO2898 or G_SCO3164 or G_SCO3297 or G_SCO4592 or G_SCO5210 or G_SCO5531 or G_SCO5851 or G_SCO6376 or G_SCO7394,TPP[e]  ->  TPP[c],false,0,1000
PRNt,G_SCO0079,prn[e]  <=>  prn[c] ,true,-1000,1000
MEMYt,G_SCO0295,memy[e]+ h[c]  <=>  h[c ]+ memy[c],true,-1000,1000
Cyt,G_SCO1812 or G_SCO7157 or G_SCO7703,cy[e]  <=>  cy[c],true,-1000,1000
ENTBACTINt,(G_SCO3898 or G_SCO4337) and (G_SCO6427 or G_SCO6430 or G_SCO7309 or G_SCO7346 or G_SCO7369),entbactin[c]  <=>  entbactin[e] ,true,-1000,1000
OXOFORMATEt,G_SCO6563,oxformate[e]  + h[e]  ->  oxoformate[c]+ h[c],false,0,1000
CATECHOLopt,G_SCO0242 or G_SCO6122,catechol[e]  <=>  catechol[c] ,true,-1000,1000
TELt,G_SCO1617 or G_SCO4795,tel[e]  <=>  tel[c] ,true,-1000,1000
FUCOSEt,G_SCO4462,fucose[e] + h[e]  ->  fucose[c] + h[c],false,0,1000
RHMNabc,G_SCO0449,h2o[c] + atp[c] + rmn[e]   ->  h[c] + rmn[c] + adp[c] + pi[c] ,false,0,1000
GLUCSabc,G_SCO1465,glucs[e] + h2o[c] + atp[c]  ->  glucs[c] + h[c] + adp[c] + pi[c],false,0,1000
DESabc,G_SCO1785 or G_SCO2422 or G_SCO6426 or G_SCO5780,des[e] + h2o[c] + atp[c] ->  des[c] + adp[c] + h[c] + pi[c],false,0,1000
FENTEROabc,G_SCO1786,fentero[e]  + h2o[c] + atp[c] -> fentero[c] + adp[c] + h[c] + pi[c],false,0,1000
COBALabc,G_SCO1787,h2o[c] + atp[c] + cobal[e]  ->  pi[c] + cobal[c] + adp[c] + h[c] ,false,0,1000
OMYCINabc,G_SCO2258 or G_SCO2306,omycin[e]  + h2o[c] + atp[c]  ->  omycin[c] + adp[c] + h[c] + pi[c],false,0,1000
XYLBabc ,G_SCO7028 and G_SCO7029 and G_SCO7030,xylb[e] + h2o[c] + atp[c]  ->  h[c] + adp[c] + pi[c] + xylb[c],false,0,1000
ASO3abc,G_SCO2128,aso3[e] + h2o[c] + atp[c]  ->  aso3[c] + adp[c] + h_[c] + pi[c],false,0,1000
