index,Reaction ID,MNX 1,MNX 2,MNX 3
0,ATPM,MNXR96131,,
1,11OXPENT,MNXR113520,,
2,1P4H2CDA,MNXR107426,,
3,23DHBZS,MNXR139561,,
4,23LGALAC,MNXR114338,,
5,23PDE2e,MNXR94723,,
6,23PDE4e,MNXR94724,,
7,23PDE7e,MNXR94722,,
8,23PDE9e,MNXR94725,MNXR139335,
9,24DCLPMO,MNXR108577,,
10,24DCOAR,MNXR115833,,
11,24DHX5M6OI,MNXR120707,,
12,25DBUT,MNXR111249,,
13,2A3MUCSD,MNXR102410,MNXR115698,
14,2ABZMOx,MNXR108578,MNXR115703,
15,2ABZMOy,MNXR108579,,
16,2AMUCSAD,MNXR95796,MNXR114958,
17,2CLRED,MNXR113760,,
18,2D3DGLUCDH,MNXR139051,,
19,2DHGLCK,MNXR94789,,
20,2FURAPS,MNXR114244,,
21,2K3DRHAM,MNXR114636,,
22,2METBOD,MNXR113366,,
23,2OGLUAH,MNXR105306,,
24,2OH3EDISO,MNXR108679,MNXR139253,
25,2OXOADOX,MNXR94818,,
26,33BIFLAV,MNXR139652,,
27,34HPPOR,MNXR94843,,
28,36AHDGALC,MNXR114212,,
29,38BIFLAVS,MNXR139653,,
30,38DPCLOR,MNXR121794,,
31,3AIBUTS,MNXR109033,,
32,3CLBZADH,MNXR123071,,
33,3CLBZDH,MNXR123073,,
34,3CTHPPT,MNXR108089,,
35,3DM4HXPPO,MNXR110510,,
36,3DMA4HMO,MNXR110511,,
37,3HAD100,MNXR94876,,
38,3HAD120,MNXR94877,,
39,3HAD121,MNXR94878,,
40,3HAD140,MNXR94879,,
41,3HAD141,MNXR94880,,
42,3HAD160,MNXR94881,,
43,3HAD161,MNXR94882,,
44,3HAD180,MNXR94883,,
45,3HAD181,MNXR94884,,
46,3HAD40,MNXR94886,MNXR94885,
47,3HAD60,MNXR94887,,
48,3HAD80,MNXR94888,,
49,3HBCOADH,MNXR107256,,
50,3HBCOAHL,MNXR138516,MNXR137943,
51,3HCINNMH,MNXR94893,,
52,3HPPPNH,MNXR94903,,
53,3HXACOADH,MNXR122604,,
54,3HXKYN,MNXR120686,,
55,3K5AHC,MNXR113893,,
56,3MBZALDH,MNXR94914,,
57,3MBZDH,MNXR94915,,
58,3NTD2e,MNXR94932,,
59,3NTD4e,MNXR94934,,
60,3NTD7e,MNXR94935,,
61,3NTD9e,MNXR94936,MNXR139086,
62,3OADPCOAT,MNXR94940,,
63,3OAR100,MNXR94941,,
64,3OAR120,MNXR94942,,
65,3OAR121,MNXR94943,,
66,3OAR140,MNXR94944,,
67,3OAR141,MNXR94945,,
68,3OAR160,MNXR94946,,
69,3OAR161,MNXR94947,,
70,3OAR180,MNXR111352,MNXR94948,
71,3OAR181,MNXR94949,,
72,3OAR40,MNXR94950,MNXR94951,
73,3OAR60,MNXR94952,,
74,3OAR80,MNXR94953,,
75,3OAS100,MNXR109251,MNXR94954,
76,3OAS120,MNXR109254,MNXR94955,
77,3OAS121,MNXR94956,,
78,3OAS140,MNXR109082,MNXR94957,
79,3OAS141,MNXR94958,,
80,3OAS160,MNXR109257,MNXR94959,
81,3OAS161,MNXR94960,,
82,3OAS180,MNXR111351,MNXR94961,
83,3OAS181,MNXR94962,,
84,3OAS60,MNXR109245,MNXR94963,
85,3OAS80,MNXR94964,MNXR109248,
86,3OCHOCDH,MNXR117705,,
87,3OXCOADH,MNXR140272,,
88,3OXCOAT,MNXR94967,,
89,3OXOR,MNXR107083,,
90,3T3LPROD,MNXR108851,,
91,44DPCDH,MNXR117424,,
92,45DOPA,MNXR107298,,
93,45SDOPs,MNXR112330,,
