ID,Charge,Formula
12da3oaglcpyr_c,0,C33H62O10
14hdphet_c,0,C8H10O2
haphenon_c,0,C8H8O2
15cphyt_c,0,C40H64
prephytedp_c,-3,C40H65O7P2
1acpc_c,0,C4H7NO2
1p4h2cbxl_c,-1,C5H6NO3
23btd_c,0,C4H10O2
amucsam_c,0,C6H7NO3
acarbmucosad_c,-1,C7H6NO5
apoACPcpk_c,0,RHO
hdhk_c,-1,C16H13O7
dhdascb_c,-1,C6H5O6
2dmmq9_c,0,C55H78O2
add26810t5o_c,10,C12H19NO
cpkepox_c,10,C12H15NO2
cpkepox_e,10,C12H15NO2
ycpk_e,8,C17H20N2O4S
hex24dACPcpk_c,5,C17H29N2O8PRS
h246dectACPcpk_c,7,C21H33N2O9PRS
hdd2610t_c,9,C12H15O2
gmhep7p_c,-2,C7H13O10P
air_c,-2,C8H12N3O7P
fruur_c,-1,C6H9O7
2mop_c,-1,C4H5O3
tcynt_c,-1,CNS
2amac_c,0,C3H5NO2
2improp_c,0,C3H5NO2
mmyA_c,0,C9H10O4
mmyA_e,0,C9H10O4
mmyC_c,0,C9H10O3
mmyB_c,0,C8H10O1
mmyB_e,0,C8H10O1
ppdyletamin_c,0,C41H78N1O8P1
asc6p_c,-2,C6H7O9P
asc6p_e,-2,C6H7O9P
f420ox_c,-2,C19H19N3O11P
f420red_c,-1,C19H22N3O11P
marsonate_c,-2,CH3O3As
ACPmmy_c,-1,RS
feroxEfe_e,0,C27H45FeN6O9
feroxEfe_c,0,C27H45FeN6O9
feroxE_c,-3,C27H45N6O9
feroxE_e,-3,C27H45N6O9
feroxG1_c,-3,C27H47N6O10
dolichol_c,-2,C80H131O4P
dolmanp_c,-1,C86H142O9P
