prots_M145_21,Usages_M145_21,prots_M145_29,Usages_M145_29,prots_M145_33,Usages_M145_33,prots_M145_37,Usages_M145_37,prots_M145_41,Usages_M145_41,prots_M145_45,Usages_M145_45,prots_M145_49,Usages_M145_49,prots_M145_53,Usages_M145_53,prots_M145_57,Usages_M145_57,prots_M1152_33,Usages_M1152_33,prots_M1152_41,Usages_M1152_41,prots_M1152_45,Usages_M1152_45,prots_M1152_49,Usages_M1152_49,prots_M1152_53,Usages_M1152_53,prots_M1152_57,Usages_M1152_57,prots_M1152_61,Usages_M1152_61,prots_M1152_65,Usages_M1152_65
Q9X7W2,0.122812,Q9K4D8,0.092109,Q9K4D8,0.098336,Q7AKF3,0.208517,Q7AKF3,0.249721,Q7AKF3,0.413386,Q7AKF3,0.413386,Q7AKF3,0.413386,Q7AKF3,0.413386,Q9K4D8,0.090207,Q9K4D8,0.093319,Q9K4D8,0.099077,Q9K4D8,0.098614,Q9K4D8,0.098165,Q7AKF3,0.296314,Q7AKF3,0.289502,Q7AKF3,0.282437
Q9L1U5,0.075367,Q9K4D6,0.087795,Q9K4D6,0.09373,Q9K4D8,0.067131,Q9K4D8,0.062368,Q9F2Y1,0.053842,Q9F2Y1,0.053842,Q9F2Y1,0.053842,Q9F2Y1,0.053842,Q9K4D6,0.085982,Q9K4D6,0.088948,Q9K4D6,0.094437,Q9K4D6,0.093995,Q9K4D6,0.093567,Q9F2Y1,0.066426,Q9F2Y1,0.065711,Q9F2Y1,0.06497
Q9X8I0,0.068223,Q9X7W2,0.074094,Q9X7W2,0.067753,Q9K4D6,0.063986,Q9K4D6,0.059447,Q9K4D8,0.041354,Q9K4D8,0.041354,Q9K4D8,0.041354,Q9K4D8,0.041354,Q9X7W2,0.076932,Q9K4D7,0.061608,Q9X7W2,0.06643,Q9X7W2,0.065659,Q9K4D7,0.064807,Q9K4D8,0.057397,Q9K4D8,0.058235,Q9K4D8,0.059104
Q9EWS0,0.063735,Q9K4D7,0.060809,Q9K4D7,0.06492,Q9K4D7,0.044319,Q9F2Y1,0.045421,Q9K4D6,0.039417,Q9K4D6,0.039417,Q9K4D6,0.039417,Q9K4D6,0.039417,Q9K4D7,0.059553,Q9X7W2,0.060413,Q9K4D7,0.065409,Q9K4D7,0.065104,Q9X7W2,0.064578,Q9K4D6,0.054708,Q9K4D6,0.055507,Q9K4D6,0.056335
Q8CK34,0.058955,Q9L1U5,0.04547,P0A302,0.048376,Q9X7W2,0.040696,Q9K4D7,0.041175,Q9K4D7,0.027302,Q9K4D7,0.027302,Q9K4D7,0.027302,Q9K4D7,0.027302,Q9L1U5,0.047211,P0A302,0.045908,P0A302,0.048741,P0A302,0.048513,P0A302,0.048292,Q9K4D7,0.037892,Q9K4D7,0.038446,Q9K4D7,0.039019
Q9F2Q3,0.040817,P0A302,0.045313,P0A2Z6,0.04181,Q9F2Y1,0.039492,Q9X7W2,0.037237,Q8CJN1,0.024064,Q8CJN1,0.024064,Q8CJN1,0.024064,Q8CJN1,0.024064,P0A302,0.044377,P0A2Z6,0.039677,P0A2Z6,0.042125,P0A2Z6,0.041928,P0A2Z6,0.041737,Q9X7W2,0.034476,Q9X7W2,0.035096,Q9X7W2,0.03574
Q9FBR4,0.036866,Q9X8I0,0.04116,Q9L1U5,0.041578,P0A302,0.033025,P0A302,0.030682,Q93J62,0.023126,Q93J62,0.023126,Q93J62,0.023126,Q93J62,0.023126,Q9X8I0,0.042736,Q9L1U5,0.037074,Q9L1U5,0.040767,Q9L1U5,0.040293,Q9L1U5,0.03963,Q8CJN1,0.032195,Q8CJN1,0.031716,Q8CJN1,0.031219
O50526,0.023182,P0A2Z6,0.039162,Q9X8I0,0.037637,P0A2Z6,0.028542,P0A2Z6,0.026517,Q9X7W2,0.020903,Q9X7W2,0.020903,Q9X7W2,0.020903,Q9X7W2,0.020903,Q9EWS0,0.039925,Q9F2Y1,0.035579,Q9X8I0,0.036902,Q9X8I0,0.036474,Q9X8I0,0.035873,P0A302,0.028236,P0A302,0.028648,P0A302,0.029076
Q9L0Z8,0.021194,Q9EWS0,0.038452,Q9EWS0,0.035161,Q9L1U5,0.024974,Q9L1U5,0.022851,P0A302,0.020344,P0A302,0.020344,P0A302,0.020344,P0A302,0.020344,P0A2Z6,0.038354,Q9X8I0,0.03356,Q9XAC6,0.034551,Q9XAC6,0.034445,Q9XAC6,0.034326,P0A2Z6,0.024404,P0A2Z6,0.02476,P0A2Z6,0.025129
Q9KXQ4,0.020519,Q8CK34,0.035568,Q9XAC6,0.034127,Q9X8I0,0.022607,Q9X8I0,0.020685,P0A2Z6,0.017583,P0A2Z6,0.017583,P0A2Z6,0.017583,P0A2Z6,0.017583,Q8CK34,0.036931,Q9XAC6,0.031675,Q9EWS0,0.034475,Q9EWS0,0.034075,Q9EWS0,0.033514,Q9L1U5,0.021157,Q9L1U5,0.021538,Q9L1U5,0.021933
