TAI,Estimated growth rate,FBA growth rate,Carbon balance
33,0.1405,0.2440,9.7487
41,0.0661,0.0543,2.1663
45,0.0523,0.1011,4.0305
49,0.0433,0.1055,4.2047
53,0.0070,0.1208,4.8141
57,-0.0048,0.0324,1.2932
61,-0.0049,0.0472,1.8813
65,-0.0050,0.0506,2.0152
