TAI,Estimated growth rate,FBA growth rate,Carbon balance
21,0.2456,1.2573,0.8341
29,0.1035,0.1935,0.5306
33,0.0732,0.1028,0.3985
37,0.0088,0.0672,0.3523
41,0.0085,0.0690,0.3742
45,0.0082,0.0699,0.3920
49,0.0031,0.0362,0.2699
53,0.0031,0.0397,0.2995
57,0.0031,0.0451,0.3442
