Metabolite ID	Biocyc annotation	Chemical Formula
3ocdncoa_c	CPD-13697	C45H64N7O18P3S
3oce26ocoa_c	CPD-13691	C48H72N7O18P3S
3ocl4e26ocoa_c	CPD-19066	C48H72N7O18P3S
3ophb_c	3-OCTAPRENYL-4-HYDROXYBENZOATE	C47H69O3
3ovobenz_c	CPD-16467	C10H6O5
3spyr_c	CPD-380	C3H2O6S
3sulfcat_c	3-SULFOCATECHOL	C6H5O5S
3sulflac_c	CPD-367	C3H4O6S
3sulprop_c	CPD-12693	C3H7O5S
3uribut_c	3-UREIDO-ISOBUTYRATE	C5H9N2O3
44dpcop_c	CPD-13150	C30H36O2
44dpcopd_c	CPD-13151	C30H34O4
45secdop_c	CPD-253	C9H10NO6
4aabutn_c	CPD-35	C6H10NO3
4carbzal_c	4-CARBOXYBENZYL-ALCOHOL	C8H7O3
4cboxald_c	4-CARBOXYBENZALDEHYDE	C8H5O3
4gglutbut_c	GAMMA-GLUTAMYL-GAMMA-AMINOBUTYRALDEH	C9H16N2O4
4guanbut_c	CPD-592	C5H11N3O2
4gubuty_c	4-GUANIDO-BUTYRAMIDE	C5H13N4O
4h2mohexn_c	CPD-9159	C7H6O5
4hambz_c	CPD-705	C7H6NO3
4hbald_c	4-HYDROXYBENZALDEHYDE	C7H6O2
4hbutcoa_c	4-HYDROXY-BUTYRYL-COA	C25H38N7O18P3S
4hbz_c	4-hydroxybenzoate	C7H5O3
4hdthbiop_c	CPD-5881	C9H15N5O4
4hphac_c	4-HYDROXYPHENYLACETATE	C8H7O3
4ip7moxo_c	CPD-10044	C10H16O2
4ipropmo_c	CPD-10064	C10H16O2
4mbzalc_c	4-METHYLBENZYL-ALCOHOL	C8H10O
4mbzald_c	CPD-8773	C8H8O
4nitrobz_c	CPD-704	C7H4NO4
4nitrocc_c	CPD-158	C6H5NO4
4nitroph_c	P-NITROPHENOL	C6H4NO3
4sulbza_c	4-SULFOBENZALDEHYDE	C7H5O4S
4sulfbenz_c	CPD-257	C7H4O5S
4sulfbzalc_c	4-SULFOBENZYL-ALCOHOL	C7H7O4S
56dthm_c	DIHYDRO-THYMINE	C5H8N2O2
56dura_c	DI-H-URACIL	C4H6N2O2
5a2opntn_c	5-AMINO-2-OXOPENTANOATE	C5H9NO3
5am3ohex_c	CPD-159	C6H11NO3
5c2oh3ed_c	CPD-785	C8H5O7
5cmhm_c	CPD-784	C8H5O7
5cmhmsa_c	CPD-783	C8H6O6
5g2oxpt_c	CPD-824	C6H11N3O3
5mtho_c	5-METHYLTHIOINOSINE	C11H14N4O4S
5oxhlnitro_c	CPD-17570	C6H5N3O7
6a6doxf_c	CPD-13324	C19H18N5O6
6h3iphep_c	CPD-10065	C10H17O3
6hd3iphep_c	CPD-10047	C10H17O3
6hdhx_c	CPD-102	C6H11O3
6mpttmide_c	CPD-19273	C20H14NO6
6p2dgluc_c	CPD-339	C6H8O10P
CE1944_c	CPD-6124	C4H8N
CE2705_c	BIOPTERIN	C9H13N5O3
ETFred_c	ETF-Reduced	
HC00591_c	2-KETO-GLUTARAMATE	C5H6NO4
HC01115_c	CPD-273	C11H18NO10
L2aadp_c	CPD-468	C6H10NO4
Lcyst_c	L-CYSTEATE	C3H6NO5S
Nforglu_c	CPD-600	C6H7NO5
Sfglutth_c	CPD-548	C11H16N3O7S
T4hcinnm_c	COUMARATE	C9H7O3
XXXGsacch_c	CPD-13375	C39H66O33
aa_c	ACRYLAMIDE	C3H5NO
aaekpim_c	L-ALPHA-AMINO-EPSILON-KETO-PIMELATE	C7H10NO5
aahxioct_c	CPD-18239	C11H24N5O3
abacptri_c	CPD-14521	C35H64NO3
acarbmucosad_c	2-AMINO-3-3-OXOPROP-2-ENYL-BUT-2-ENEDI	C7H6NO5
acetoin__S_c	CPD-255	C4H8O2
acetoin_c	ACETOIN	C4H8O2
acetol_c	ACETOL	C3H6O2
acmana_c	N-acetyl-D-mannosamine	C8H15NO6
acnam__B_c	CPD0-1123	C11H18NO9
acryl_c	ACRYLATE	C3H3O2
adphep_DD_c	ADP-D-GLYCERO-D-MANNO-HEPTOSE	C17H25N5O16P2
agdppdtundec_c	CPD-12771	C79H127O28P2
agppcap_c	CPD-12773	C61H100O12P2
ahgalac__L_c	CPD-17129	C6H9O6
ahmann_c	CPD-15373	C6H12O6
ahop_c	CPD-14522	C40H63N5O3
allphn_c	CPD-578	C2H3N2O3
amuco_c	2-AMINO-MUCONATE	C6H6NO4
amucsam_c	2-AMINOMUCONATE_SEMIALDEHYDE	C6H7NO3
anthrancoa_c	2-AMINOBENZOYL-COA	C28H37N8O17P3S
ap4a_c	ADENOSYL-P4	C20H24N10O19P4
aprut_c	CPD-569	C6H15N2O
arabat__L_c	CPD-1117	C5H9O6
arabinofur__L_c	L-arabinofuranose	C5H10O5
arb14lac__L_c	CPD-368	C5H8O5
arg__D_c	CPD-220	C6H15N4O2
ascb__L_c	ASCORBATE	C6H7O6
at44dcop_c	CPD-13149	C30H40
atphyflu_c	CPD-7408	C40H62
betahyd_c	BETAINE-ALDEHYDE-HYDRATE	C5H14NO2
betalm_c	CPD-8651	C9H7NO5
bgalac__D_c	CPD-12524	C6H9O7
bmmcoa_c	CPD-9409	C26H37N7O20P3S
btal_c	BUTANAL	C4H8O
butanoate_c	BUTYRIC_ACID	C4H7O2
bz_c	BENZOATE	C7H5O2
bzal_c	BENZALDEHYDE	C7H6O
bzalc_c	BENZYL-ALCOHOL	C7H8O
bzamid_c	CPD-17683	C7H7NO
bzsucc_c	BENZYLSUCCINATE	C11H10O4
bzsuccoa__R_c	BENZYLSUCCINYL-COA	C32H41N7O19P3S
bzsuccoa_c	BENZOYLSUCCINYL-COA	C32H39N7O20P3S
cacodylate_c	DIMETHYLARSINATE	C2H6O2As
caffcoa_c	CAFFEOYL-COA	C30H38N7O19P3S
cala_c	3-UREIDO-PROPIONATE	C4H7N2O3
caro_c	CPD1F-129	C40H56
cbm_c	CARBAMATE	CH2NO2
cdp4dh36ddglc_c	CPD-1078	C15H21N3O14P2
cdp4dh6doglc_c	CPD-658	C15H21N3O15P2
cechddd_c	CARBOXYETHYL-3-5-CYCLOHEXADIENE-1-2-DIOL	C9H11O4
cepspoc_c	CEPHALOSPORIN-C	C16H20N3O8S
ch15deccoa_c	CYCLOHEXA-15-DIENE-1-CARBONYL-COA	C28H38N7O17P3S
chdpro__D_c	CIS-4-HYDROXY-D-PROLINE	C5H9NO3
chlorac_c	CHLOROACETIC-ACID	C2H2O2Cl
chol4e3o_c	CPD-323	C27H44O
cholate_c	CHOLATE	C24H39O5
chsterol_c	CHOLESTEROL	C27H46O
cinnm_c	CPD-674	C9H7O2
cmpacna_c	CMP-N-ACETYL-NEURAMINATE	C20H29N4O16P
cmpglna_c	CPD-262	C20H29N4O17P
co_c	CARBON-MONOXIDE	CO
coucoa_c	P-COUMAROYL-COA	C30H38N7O18P3S
coxsperm_c	CPD-9995	C7H19N3O2
creat_c	CREATINE	C4H9N3O2
crn_c	CARNITINE	C7H15NO3
crtn_c	CREATININE	C4H7N3O
cspmd_c	CPD-10012	C8H21N3O2
cyccarcoa_c	CPD-533	C28H40N7O17P3S
cychex1coa_c	CPD-577	C28H42N7O17P3S
cychex_c	CYCLOHEXANONE	C6H10O
cychxaol_c	CYCLOHEXANOL	C6H12O
d11oxpen_c	CPD-13625	C15H19O3
dacepspo_c	DEACETYLCEPHALOSPORIN-C	C14H18N3O7S
dddeccoa_c	T2-C4-DECADIENYL-COA	C31H46N7O17P3S
decda_tb_c	CPD-14550	C55H90O8P
dh7oxcho_c	CHOLANATE2	C24H37O5
dhcinnm_c	CPD-10796	C9H7O4
dhdascb_c	L-DEHYDRO-ASCORBATE	C6H5O6
dhiconf_c	CPD-17077	C20H19O7
dhiconfa_c	CPD-17076	C20H20O6
dhpppn_c	2-3-DIHYDROXYPHENYL-PROPIONATE	C9H9O4
dim1oct_c	CPD-10160	C12H20
dmppat_c	NN-DIMETHYLANILINE-N-OXIDE	C8H11NO
dmthiopp_c	CPD-8974	C2H6O3PS
dolichol_c	DOLICHOLP	C80H131O4P
dolmanp_c	CPD-171	C86H142O9P
dopa__L_c	L-DIHYDROXY-PHENYLALANINE	C9H11NO4
dpperypfur_c	CPD-12041	C55H88O8P
dtdp26ddgh2e2u_c	CPD-13380	C16H19N2O14P2
dtdp34dh26doglc_c	CPD-13952	C16H20N2O14P2
dtdp4dh26dall_c	CPD-13985	C16H22N2O14P2
dtdp4dh3m26ddglc_c	CPD-13958	C17H24N2O14P2
dtdp4h26dthp_c	CPD-13381	C16H22N2O14P2
dtdpaoliv_c	CPD-11916	C16H24N2O14P2
ecaplac_c	CPD-101	C6H10O2
ecinncoa_c	CINNAMOYL-COA	C30H38N7O17P3S
enter_c	ENTEROBACTIN	C30H27N3O15
enter_e	ENTEROBACTIN	C30H27N3O15
etf_ox_c	ETF-Oxidized	
f420ox_c	Oxidized-Factor-F420	
f420red_c	Reduced-Factor-F420	
fc1p_c	FUCULOSE-1P	C6H11O8P
feroxG1_c	CPD-11956	C27H50N6O10
flaviolin_c	CPD-10679	C10H5O5
forfurmpp_c	CPD-7643	C6H5O6P
foriglut_c	FORMYL-ISOGLUTAMINE	C6H9N2O4
formhop_c	CPD-14524	C35H60O4
formyct_c	CPD1G-121	C18H30N2O13S
frdp_2_c	CPD-9444	C15H25O7P2
fruur_c	FRUCTURONATE	C6H9O7
fumpyr_c	CPD-277	C7H4O6
ga_c	CPD-183	C7H5O5
gal14lac__D_c	CPD-16522	C6H7O7
gal15lac_c	CPD-17138	C6H7O7
gal__L_c	L-Galactopyranose	C6H12O6
galac14lac_c	CPD-330	C6H10O6
galac15lac_c	CPD-17157	C6H10O6
galct__D_c	D-GALACTARATE	C6H8O8
gcarote_c	CPD1F-126	C40H56
gcgguaiac_c	CPD-11867	C17H20O6
gcgguaiace_c	CPD-11870	C17H20O6
gdp6dklh_c	CPD-17406	C17H23N5O16P2
gdp6domanhep_c	CPD-17411	C17H25N5O16P2
gdpmannur_c	CPD-1828	C16H20N5O17P2
geranial_c	GERANIAL	C10H16O
geraniol_c	GERANIOL	C10H18O
gg4abut_c	CPD-9000	C9H15N2O5
ggaggdcap_c	CPD-12784	C85H137O33P2
ggcysto_c	CPD-15279	C17H26N5O8S
ggputresc_c	GAMMA-GLUTAMYL-PUTRESCINE	C9H20N3O3
ghb_c	4-HYDROXY-BUTYRATE	C4H7O3
gluca14lac_c	CPD-17141	C6H7O7
gluca15lac_c	CPD-12595	C6H7O7
glucor__bD_c	CPD-12521	C6H9O7
glucys_c	L-GAMMA-GLUTAMYLCYSTEINE	C8H13N2O5S
gmhep17bp__B_c	D-BETA-D-HEPTOSE-17-DIPHOSPHATE	C7H12O13P2
gmhep1p_c	D-BETA-D-HEPTOSE-1-P	C7H13O10P
gmhep7p_c	D-ALPHABETA-D-HEPTOSE-7-PHOSPHATE	C7H13O10P
gpdtoucap_c	CPD-19317	C63H103NO9P
gullac_c	L-GULONO-1-4-LACTONE	C6H10O6
guln__L_c	L-GULONATE	C6H11O7
h2_c	HYDROGEN-MOLECULE	H2
hccystox_c	CPD-15277	C12H20N4O5S
hdoxcad_c	CPD-11953	C5H15N2O
hercyn_c	CPD-15280	C9H15N3O2
hmgth_c	S-HYDROXYMETHYLGLUTATHIONE	C11H18N3O7S
hmmsh_c	S-HYDROXYMETHYLMYCOTHIOL	C18H32N2O13S
hosuprop_c	CPD-12694	C3H5O5S
hsql_c	CPD-18508	C30H50O
hycorn_c	CPD-11571	C5H12N2O3
hyxsuccad_c	CPD-11955	C9H18N2O4
iad_c	CPD-237	C10H10N2O
ind3ac_c	INDOLE_ACETATE_AUXIN	C10H8NO2
indpyr_c	INDOLE_PYRUVATE	C11H8NO3
iprimev_c	CPD0-1202	C11H20O10
itaccoa_c	CPD-1137	C26H35N7O19P3S
itacon_c	ITACONATE	C5H4O4
kdo2laur_c	KDO2-LAUROYL-LIPID-IVA	C96H170N2O38P2
kdo2lipid4_c	KDO2-LIPID-IVA	C84H148N2O37P2
lald__D_c	CPD-358	C3H6O2
lgt__S_c	S-LACTOYL-GLUTATHIONE	C13H20N3O8S
lycop_c	CPD1F-114	C40H56
lyxat__L_c	CPD0-1198	C5H9O6
m_tol_c	CPD-8775	C8H7O2
malpyr_c	CPD-1070	C7H4O6
malylcoa_c	CPD-15846	C25H35N7O20P3S
mana_c	D-MANNONATE	C6H11O7
marsonate_c	METHYLARSONATE	CH4O3As
metac_c	METHYL-ACETATE	C3H6O2
metbute_c	CPD-19011	C5H12O
methydan_c	N-METHYLHYDANTOIN	C4H6N2O2
mompain_c	CPD-16816	C10H5O6
mparathion_c	CPD-8973	C8H10NO5PS
mphpv__R_c	CPD-11872	C17H18O6
mphpv__S_c	CPD-11871	C17H18O6
mppate_c	CPD0-1068	CH4O3P
mppp9_c	MG-PROTOPORPHYRIN	C34H30N4O4Mg
mthgxl_c	METHYL-GLYOXAL	C3H4O2
myarso_c	METHYLARSONITE	CH5O2As
mycthigpyrpp_c	CPD-12152	C17H29N2O15SAs
n4abutn_c	CPD-30	C6H11NO2
n6all26d_c	CPD-1771	C9H15N2O5
n6hxlys_c	CPD-265	C6H14N2O3
nacitrul__L_c	CPD-7224	C8H14N3O4
nacpphin_c	CPD-9999	C7H12NO5P
nadhx__R_c	CPD0-2472	C21H29N7O15P2
nadhx__S_c	CPD-653	C21H29N7O15P2
nadphx__R_c	CPD-14133	C21H28N7O18P3
nadphx__S_c	CPD0-2474	C21H28N7O18P3
nal2a6o_c	N-ACETYL-L-2-AMINO-6-OXO-PIMELATE	C9H11NO6
ncrbmsar_c	CARBAMOYL-SARCOSINE	C4H7N2O3
neral_c	CPD-9762	C10H16O
neuspn_c	NEUROSPORENE	C40H58
nic1ox_c	CPD-2743	C10H14N2O
nico__S_c	NICOTINE	C10H15N2
nisirhcl_c	CPD-7564	C42H36N4O16Ni
nndmyani_c	NN-DIMETHYLANILINE	C8H11N
nphtatt_c	TETRAHYD-CPD	C10H8O4
nsirhcda_c	CPD-7590	C42H40N6O14Ni
o3n54ocyo_c	CPD-17567	C6H3N3O7
o54ocyo_c	CPD-17565	C6H4N2O5
oh1_c	OH	HO
ohrad_c	CPD-12377	HO
orn__D_c	CPD-217	C5H13N2O2
p_tol_c	4-TOLUENECARBOXYLATE	C8H7O2
paolac_c	CPD-13619	C15H15O5
pcumald_c	CPD-1003	C10H12O
pcumat_c	CPD-1004	C10H11O2
pentlacF_c	CPD-13622	C15H17O5
pentlacd_c	CPD-13621	C15H19O4
phgkyx_c	PHENYLGLYOXYLATE	C8H5O3
phitcoa_c	E-PHENYLITACONYL-COA	C32H39N7O19P3S
picoln_c	PICOLINATE	C6H4NO2
pp2slac_c	CPD-366	C3H3O9PS
ppdyletamin_c	L-1-PHOSPHATIDYL-ETHANOLAMINE	
pphinit_c	L-PHOSPHINOTHRICIN	C5H11NO4P
pppn_c	3-PHENYLPROPIONATE	C9H9O2
pro__D_c	D-PROLINE	C5H9NO2
propane_c	CPD-18984	C3H8
prp13da_c	CPD-313	C3H12N2
prp2enoate_c	CPD-13034	C9H9O4
pttamid_c	CPD-19275	C19H12NO6
puri4pp_c	PSEUDOURIDINE-5-P	C9H11N2O9P
pyr2cbox_c	DELTA1-PYRROLINE_2-CARBOXYLATE	C5H6NO2
pyrgal_c	PYROGALLOL	C6H6O3
rbl__D_c	D-RIBULOSE	C5H10O5
rbt_c	RIBITOL	C5H12O5
rib1mpp5tpp_c	CPD0-2479	C6H11O16P4
ribsylo_c	CPD-14523	C35H60O4
rmnf_c	CPD-16567	C6H12O5
ru1p__D_c	D-RIBULOSE-1-P	C5H9O8P
sarcs_c	SARCOSINE	C3H7NO2
sl__L_c	CPD-11799	C3H4O6S
sorb14lac_c	CPD-9055	C6H10O6
stmyn_c	STREPTOMYCIN	C21H42N7O12
strep6p_c	CPD-529	C21H41N7O15P
t3hdprol_c	CPD-664	C5H9NO3
tag6p_c	CPD-15826	C6H11O9P
tbutalc_c	CPD-19012	C4H10O
tbutfor_c	CPD-19044	C5H10O2
tbutmet_c	CPD-19043	C5H12O2
tcl14bzq_c	CPD-19762	C6O2Cl4
tclhqn_c	TETRACHLOROHYDROQUINONE	C6O2Cl4
tma_c	TRIMETHYLAMINE	C3H10N
tmao_c	TRIMETHYLAMINE-N-O	C3H9NO
todcpribfur_c	CPD-12040	C55H90O8P
uGgl_c	CPD-209	C34H52N7O24P2
uGgla_c	C3	C40H62N9O26P2
udpLa4fn_c	UDP-L-ARA4-FORMYL-N	C15H21N3O16P2
udpLa4n_c	UDP-4-AMINO-4-DEOXY-L-ARABINOSE	C14H22N3O15P2
udpLa4o_c	5-BETA-L-THREO-PENTAPYRANOSYL-4-ULOSE-	C14H18N2O16P2
unaga_c	ACETYL-D-GLUCOSAMINYLDIPHOSPHO-UNDECAPRE	C63H103NO12P2
vanln_c	VANILLIN	C8H8O3
xllgsacc_c	CPD-13378	C51H86O43
xlxgxgsac_c	CPD-13377	C45H76O38
xu1p__D_c	CPD0-1115	C5H9O8P
xxlgsacc_c	CPD-13376	C45H76O38
xyhex3u14lac_c	CPD-329	C6H8O6
xylnact__D_c	CPD-360	C5H8O5
xylonate__D_c	D-XYLONATE	C5H9O6
zcarote_c	CPD1F-98	C40H60
