Metabolite ID	Biocyc annotation	Chemical Formula
23dahxoc_c	CPD-18229	C12H25N6O4
23ddhb_c	DIHYDRO-DIOH-BENZOATE	C7H7O4
23dhb_c	2-3-DIHYDROXYBENZOATE	C7H5O4
23dhba_c	CPD-62	C17H17N5O10P
24dclphen_c	24-DICHLOROPHENOL	C6H4OCl2
24ddhrham_c	CPD-13044	C6H7O5
24dh5m6o24d_c	CPD-9137	C7H7O5
24dtcho_c	CPD-17568	C6H8N2O5
25dc25chx_c	25-DDOL	C6H6O2Cl2
25dclpql_c	25-DICHLOROHYDROQUINONE	C6H4O2Cl2
26hxcho_c	CPD-13887	C27H44O2
2a5ocyc1eccoa_c	2-AMINO-5-OXOCYCLOHEX-1-ENECARBOXYL-COA	C28H39N8O18P3S
2amac_c	2-AMINOACRYLATE	C3H5NO2
2chloacr_c	CPD-15408	C3H2O2Cl
2clprop_c	CPD-15409	C3H4O2Cl
2cm3hppc_c	CARBOXYMETHYL-HYDROXYPHENYLPROPCOA	C32H41N7O20P3S
2ddara__L_c	CPD-1134	C5H7O5
2ddara_c	2-DH-3-DO-D-ARABINONATE	C5H7O5
2dg25hbz_c	CPD-343	C6H7O6
2dh3dgal6p_c	DEHYDRO-DEOXY-GALACTONATE-PHOSPHATE	C6H8O9P
2dh3dogal_c	CPD-12349	C6H9O6
2dh3dorham_c	DEHYDRO-3-DEOXY-L-RHAMNONATE	C6H9O5
2dhglcn_c	CPD-377	C6H9O7
2h4oxbut_c	4-OH-4-ACETYL-2-OXOGLUTARATE	C7H5O8
2hdhepdd_c	CPD-787	C7H6O5
2hmc_c	CPD-13339	C6H4O5
2hmcnsad_c	HYDROXYMUCONATE-SALD	C6H5O4
2improp_c	CPD-16015	C3H5NO2
2kmb_c	CPD-479	C5H7O3S
2mborn_c	CPD-14016	C11H20O
2mfumcoa_c	CPD-9408	C26H35N7O19P3S
2mop_c	CPD-12179	C4H5O3
2mygydpp_c	CPD-14015	C11H19O7P2
2ohed_c	CPD-786	C7H6O5
2oph_c	2-OCTAPRENYLPHENOL	C46H70O
2oxalc_c	CPD-8742	C6H4O5
2pglyc_c	CPD-67	C2H2O6P
2ppoh_c	ISO-PROPANOL	C3H8O
2pyr46dcox_c	CPD-184	C7H2O6
33biflav_c	CPD-10680	C20H8O10
34dhcinm_c	CPD-676	C9H7O4
36ahgalfur_c	CPD-8938	C6H10O5
36ahgalpyr_c	CPD-13430	C6H10O5
38biflav_c	CPD-10681	C20H8O10
3aib_c	CPD-471	C4H9NO2
3ambutcoa_c	CPD-672	C25H40N8O17P3S
3clbxal_c	CPD-10660	C7H5OCl
3clbzal_c	CPD-10659	C7H7OCl
3clbzat_c	CPD-3486	C7H4O2Cl
3dclcatc_c	35-DICHLOROCATECHOL	C6H4O2Cl2
3dm4hdppyr_c	CPD-15467	C14H15O4
3dma4hbz_c	CPD-15423	C12H13O3
3dma4hma_c	CPD-15502	C13H15O4
3h4oxbut_c	CPD-16618	C4H5O4
3hcinnm_c	CPD-10797	C9H7O3
3hd4oxhxcoa_c	CPD-20	C27H40N7O19P3S
3hd5ohexa_c	CPD-19	C6H9O4
3hdkynu_c	CPD-18536	C10H6NO4
3hpppn_c	3-HYDROXYPHENYL-PROPIONATE	C9H9O3
3hxquin_c	CPD-18533	C10H6NO3
3mbzalc_c	3-METHYLBENZYL-ALCOHOL	C8H10O
3metbzal_c	CPD-8774	C8H8O
3oc4en24ocoa_c	CPD-13696	C45H66N7O18P3S
3ocd26ocoa_c	CPD-13692	C48H70N7O18P3S
