ID,Charge,Formula
3hbcoa__R_c,-4,C25H38N7O18P3S
3hbcoa_c,-4,C25H38N7O18P3S
3hcddec5eACP_c,-1,C23H41N2O9PRS
3hcinnm_c,-1,
3hcmrs7eACP_c,-1,C25H45N2O9PRS
3hcpalm9eACP_c,-1,C27H49N2O9PRS
3hcvac11eACP_c,-1,C29H53N2O9PRS
3hd4oxhxcoa_c,-4,
3hd5ohexa_c,-1,
3hdcoa_c,-4,C31H50N7O18P3S
3hddcoa_c,-4,C33H54N7O18P3S
3hddecACP_c,-1,C23H43N2O9PRS
3hddecACPredQ_c,-1,C23H43N2O9PRS
3hdecACP_c,-1,C21H39N2O9PRS
3hdecACPredQ_c,-1,C21H39N2O9PRS
3hdkynu_c,-1,
3hhcoa_c,-4,C27H42N7O18P3S
3hhdcoa_c,-4,C37H62N7O18P3S
3hhepACP_c,-1,C18H33N2O9PRS
3hhepdcaACP_c,-1,C28H53N2O9PRS
3hhexACP_c,-1,C17H31N2O9PRS
3hhexACPcda_c,-1,C17H31N2O9PRS
3hhexACPredQ_c,-1,C17H31N2O9PRS
3hiC10ACP_c,-1,C21H39N2O9PRS
3hiC11ACP_c,-1,C22H41N2O9PRS
3hiC12ACP_c,-1,C23H43N2O9PRS
3hiC13ACP_c,-1,C24H45N2O9PRS
3hiC14ACP_c,-1,C25H47N2O9PRS
3hiC15ACP_c,-1,C26H49N2O9PRS
3hiC16ACP_c,-1,C27H51N2O9PRS
3hiC17ACP_c,-1,C28H53N2O9PRS
3hiC18ACP_c,-1,C29H55N2O9PRS
3hiC6ACP_c,-1,C17H31N2O9PRS
3hiC7ACP_c,-1,C18H33N2O9PRS
3hiC8ACP_c,-1,C19H35N2O9PRS
3hiC9ACP_c,-1,C20H37N2O9PRS
3hib_c,-1,C4H7O3
3hibutcoa_c,-4,C25H38N7O18P3S
3hmbcoa_c,-4,C26H40N7O18P3S
3hmoa_c,-1,C5H7O4
3hmop_c,-1,C6H9O4
3hmrsACP_c,-1,C25H47N2O9PRS
3hnonACP_c,-1,C20H37N2O9PRS
3hocoa_c,-4,C29H46N7O18P3S
3hoctACP_c,-1,C19H35N2O9PRS
3hoctACPredQ_c,-1,C19H35N2O9PRS
3hoctaACP_c,-1,C29H55N2O9PRS
3hodcoa_c,-4,C39H66N7O18P3S
3hpalmACP_c,-1,C27H51N2O9PRS
3hpcoa_c,-4,C24H36N7O18P3S
3hpppn_c,-1,
3hptdcaACP_c,-1,C26H49N2O9PRS
3hptnACP_c,-1,C16H29N2O9PRS
3htdcoa_c,-4,C35H58N7O18P3S
3htridcaACP_c,-1,C24H45N2O9PRS
3hundcaACP_c,-1,C22H41N2O9PRS
3hxquin_c,-1,
3ig3p_c,-2,C11H12NO6P
3mb2coa_c,-4,C26H38N7O17P3S
3mbzalc_c,0,
3metbzal_c,0,
3mgcoa_c,-5,C27H37N7O19P3S
3mob_c,-1,C5H7O3
3mop_c,-1,C6H9O3
3oaiC11ACP_c,-1,C22H39N2O9PRS
3oaiC13ACP_c,-1,C24H43N2O9PRS
3oaiC15ACP_c,-1,C26H47N2O9PRS
3oaiC17ACP_c,-1,C28H51N2O9PRS
3oaiC7ACP_c,-1,C18H31N2O9PRS
3oaiC9ACP_c,-1,C20H35N2O9PRS
3oc4en24ocoa_c,-4,
3ocd26ocoa_c,-4,
3ocddec5eACP_c,-1,C23H39N2O9PRS
3ocdncoa_c,-4,
3oce26ocoa_c,-4,
3ocl4e26ocoa_c,-4,
3ocmrs7eACP_c,-1,C25H43N2O9PRS
3ocpalm9eACP_c,-1,C27H47N2O9PRS
3ocvac11eACP_c,-1,C29H51N2O9PRS
3odcoa_c,-4,C31H48N7O18P3S
3oddcoa_c,-4,C33H52N7O18P3S
3oddecACP_c,-1,C23H41N2O9PRS
3oddecACPredQ_c,-1,C23H41N2O9PRS
3odecACP_c,-1,C21H37N2O9PRS
3odecACPredQ_c,-1,C21H37N2O9PRS
3ohcoa_c,-4,C27H40N7O18P3S
3ohdcoa_c,-4,C37H60N7O18P3S
3ohepACP_c,-1,C18H31N2O9PRS
3ohepdcaACP_c,-1,C28H51N2O9PRS
3ohexACP_c,-1,C17H29N2O9PRS
3ohexACPcda_c,-1,C17H29N2O9PRS
3ohexACPredQ_c,-1,C17H29N2O9PRS
3ohodcoa_c,-4,C39H64N7O18P3S
3oiC10ACP_c,-1,C21H37N2O9PRS
3oiC11ACP_c,-1,C22H39N2O9PRS
3oiC12ACP_c,-1,C23H41N2O9PRS
3oiC13ACP_c,-1,C24H43N2O9PRS
3oiC14ACP_c,-1,C25H45N2O9PRS
3oiC15ACP_c,-1,C26H47N2O9PRS
3oiC16ACP_c,-1,C27H49N2O9PRS
3oiC17ACP_c,-1,C28H51N2O9PRS
3oiC18ACP_c,-1,C29H53N2O9PRS
3oiC6ACP_c,-1,C17H29N2O9PRS
3oiC7ACP_c,-1,C18H31N2O9PRS
3oiC8ACP_c,-1,C19H33N2O9PRS
3oiC9ACP_c,-1,C20H35N2O9PRS
3omrsACP_c,-1,C25H45N2O9PRS
3omrsACPredL_c,-1,C25H45N2O9PRS
3ononACP_c,-1,C20H35N2O9PRS
3oocoa_c,-4,C29H44N7O18P3S
3ooctACP_c,-1,C19H33N2O9PRS
3ooctACPredQ_c,-1,C19H33N2O9PRS
3ooctdACP_c,-1,C29H53N2O9PRS
3opalmACP_c,-1,C27H49N2O9PRS
3ophb_c,-1,
3optdcaACP_c,-1,C26H47N2O9PRS
3optnACP_c,-1,C16H27N2O9PRS
3otdcoa_c,-4,C35H56N7O18P3S
3otridcaACP_c,-1,C24H43N2O9PRS
3oundcaACP_c,-1,C22H39N2O9PRS
3ovobenz_c,-2,
3oxdhscoa_c,-5,C29H39N7O20P3S
3oxoadp_c,-2,C6H6O5
3pg_c,-3,C3H4O7P
3php_c,-3,C3H2O7P
3psme_c,-4,C10H9O10P
3spyr_c,-2,
3sulfcat_c,-1,
3sulflac_c,-2,
3sulprop_c,-1,
3ump_e,-2,C9H11N2O9P
3uribut_c,-1,
44dpcop_c,0,
44dpcopd_c,-2,
45secdop_c,-1,
465mo5othf3mdhp_c,0,C14H25O7P
46mo5o25dhf3mdhp_c,0,C14H23O7P
4aabutn_c,-1,
4abut_c,0,C4H9NO2
4abut_e,0,C4H9NO2
4abutn_c,1,C4H10NO
4abz_c,-1,C7H6NO2
4adcho_c,-1,C10H10NO5
4ahmmp_c,0,C6H9N3O
4ahmmp_e,0,C6H9N3O
4ampm_c,-2,C6H8N3O4P
4c2me_c,-2,C14H23N3O14P2
4carbzal_c,-1,
4cboxald_c,-1,
4cml_c,-2,C7H4O6
4crsol_c,0,C7H8O
4fe4s_c,2,S4Fe4
4fumacac_c,-2,C8H6O6
4gglutbut_c,0,
4guanbut_c,0,
4gubuty_c,1,
4h2mohexn_c,-2,
4h2oglt_c,-2,C5H4O6
4h2opntn_c,-1,C5H7O4
4hambz_c,-1,
4hbald_c,0,
4hbutcoa_c,-4,
4hbz_c,-1,
4hdthbiop_c,0,
4hglusa_c,0,C5H9NO4
4hm36modhf2o_c,0,C14H24O5
4hm3odhf2o_c,0,C13H22O4
4hmda_c,-1,C8H7O4
4hpglx_c,-1,C8H5O4
4hpgly_c,0,C8H9NO3
4hphac_c,-1,
4hpro_LT_c,0,C5H9NO3
4hthr_c,0,C4H9NO4
4ip7moxo_c,0,
4ipropmo_c,0,
4izp_c,-1,C6H7N2O3
4mbzalc_c,0,
4mbzald_c,0,
4mlacac_c,-2,C8H6O6
4mop_c,-1,C6H9O3
4mpetz_c,-2,C6H8NO4PS
4nitrobz_c,-1,
4nitrocc_c,0,
4nitroph_c,-1,
4o5odhmdhp_c,0,C13H21O7P
4o5othf3mdp_c,0,C13H23O7P
4pasp_c,-2,C4H6NO7P
4per_c,-3,C4H6O8P
4ppan_c,-3,C9H15NO8P
4ppcys_c,-3,C12H20N2O9PS
4r5au_c,0,C9H16N4O6
4sulbza_c,-1,
4sulfbenz_c,-2,
4sulfbzalc_c,-1,
56dthm_c,0,
56dura_c,0,
5a2opntn_c,0,
5aizc_c,-3,C9H11N3O9P
5am3ohex_c,0,
5aop_c,0,C5H9NO3
5aprbu_c,-2,C9H15N4O9P
5apru_c,-2,C9H13N4O9P
5aptn_c,0,C5H11NO2
5c2oh3ed_c,-3,
5cmhm_c,-3,
5cmhmsa_c,-2,
5dglcn_c,-1,C6H9O7
5dglcn_e,-1,C6H9O7
5dh4dglc_c,-2,C6H6O7
5doglcn_c,-1,C6H9O6
5drib_c,0,C5H10O4
5fthf_c,-2,C20H21N7O7
5g2oxpt_c,0,
5hectoine_c,-1,C6H9N2O3
5hiu_c,0,C5H4N4O4
5mcsn_c,0,C5H7N3O
5mdr1p_c,-2,C6H11O7PS
5mdru1p_c,-2,C6H11O7PS
5mta_c,0,C11H15N5O3S
5mthf_c,-1,C20H24N7O6
5mtho_c,0,
5mtr_c,0,C6H12O4S
5mtr_e,0,C6H12O4S
5odhf2a_c,-1,C6H5O4
5oxhlnitro_c,-2,
5prdmbz_c,-2,C14H17N2O7P
6a6doxf_c,-1,
6apa_c,0,C8H12N2O3S
6h3iphep_c,-1,
6hd3iphep_c,-1,
6hdhx_c,-1,
6hmhpt_c,0,C7H9N5O2
6hmhptpp_c,-3,C7H8N5O8P2
6mpttmide_c,-1,
6p2dgluc_c,-3,
6pgc_c,-3,C6H10O10P
6pgl_c,-2,C6H9O9P
8aonn_c,0,C9H17NO3
ACP_c,-1,C11H21N2O7PRS
ACPact_c,-1,C11H21N2O7PRS
ACPcda_c,-1,C11H21N2O7PRS
ACPcpk_c,-1,C11H21N2O7PRS
ACPmmy_c,0,R
ACPredL_c,-1,C11H21N2O7PRS
ACPredN_c,-1,C11H21N2O7PRS
ACPredQ_c,-1,C11H21N2O7PRS
C21565_c,0,C20H25N3O
C21572_c,-1,C10H16N
CCbuttc_c,-3,C7H3O6
CE1944_c,1,
CE2705_c,0,
ETFred_c,0,
HC00591_c,-1,
HC01115_c,-1,
KSredX_c,0,HRS
L2aadp_c,-1,
LalaDgluMdapDala_c,-1,C18H30N5O9
LalaDgluMdap_c,-1,C15H25N4O8
LalaDglu_c,-1,C8H13N2O5
LalaDglu_e,-1,C8H13N2O5
Lcyst_c,-1,
Lfmkynr_c,0,C11H12N2O4
Lkynr_c,0,C10H12N2O3
N6dhliplys_c,-1,C8H16NOS2
N6liplys_c,0,C8H15NOS2
Nforglu_c,-2,
PCPredO_c,-1,C11H21N2O7PRS
Sfglutth_c,-1,
T4hcinnm_c,-1,
TPP_c,0,C24H2OP
TPP_e,0,C24H2OP
XXXGsacch_c,0,
aa_c,0,
aacald_c,1,C2H6NO
aacoa_c,-4,C25H36N7O18P3S
aact_c,1,C3H8NO
aaekpim_c,-1,
aahxioct_c,1,
abacptri_c,1,
abt__D_c,0,C5H12O5
abt__D_e,0,C5H12O5
acACP_c,-1,C13H23N2O8PRS
ac_c,-1,C2H3O2
ac_e,-1,C2H3O2
acac_c,-1,C4H5O3
acald_c,0,C2H4O
acald_e,0,C2H4O
acarbmucosad_c,-2,
acceptor_c,0,R
accoa_c,-4,C23H34N7O17P3S
accp_c,0,C7H13N3O2R2
accys_c,0,C5H9NO3S
accys_e,0,C5H9NO3S
acetoin__S_c,0,
acetoin_c,0,
acetol_c,0,
acetone_c,0,C3H6O
acg5p_c,-3,C7H9NO8P
acg5sa_c,-1,C7H10NO4
acgam1p_c,-2,C8H14NO9P
acgam6p_c,-2,C8H14NO9P
acgam_c,0,C8H15NO6
acgam_e,0,C8H15NO6
acglc__D_c,0,C8H14O7
acglu_c,-2,C7H9NO5
achms_c,0,C6H11NO4
acmalt_c,0,C14H24O12
acmana_c,0,
acmum6p_c,-3,C11H17NO11P
acnam__B_c,-1,
acon_C_c,-3,C6H3O6
acon_T_c,-3,C6H3O6
aconm_c,-2,C7H6O6
acorn_c,0,C7H14N2O3
acryl_c,-1,
acser_c,0,C5H9NO4
acser_e,0,C5H9NO4
actACP_c,-1,C15H25N2O9PRS
actACPact_c,-1,C15H25N2O9PRS
actACPcda_c,-1,C15H25N2O9PRS
actACPmmy_c,-1,C4H7O2S1R1
actACPredQ_c,-1,C15H25N2O9PRS
act_c,-2,C32H24O14
act_e,-2,C32H24O14
actint1ACPact_c,-1,C27H37N2O15PRS
actint2ACPact_c,-1,C27H39N2O15PRS
actint3ACPact_c,-1,C27H35N2O13PRS
actint4ACPact_c,-1,C27H33N2O12PRS
actint5ACPact_c,-1,C27H35N2O12PRS
actp_c,-2,C2H3O5P
adcobdam_c,-4,C55H68CoN11O15
adcobhex_c,0,C55H76CoN15O11
add26810t5o_c,0,C12H19NO
ade_c,0,C5H5N5
ade_e,0,C5H5N5
adhlam_c,0,C10H19NO2S2
adn_c,0,C10H13N5O4
adn_e,0,C10H13N5O4
adocbi_c,1,C58H84CoN16O11
adocbip_c,-1,C58H83CoN16O14P
adocbl_c,0,C72H100CoN18O17P
adp_c,-3,C10H12N5O10P2
adpglc_c,-2,C16H23N5O15P2
adphep_DD_c,-2,
adprib_c,-2,C15H21N5O14P2
afactor_c,0,C13H22O5
agdpcbi_c,-1,C68H95CoN21O21P2
agdppdtundec_c,-3,
agm_c,2,C5H16N4
agm_e,2,C5H16N4
agppcap_c,-2,
ahcys_c,0,C14H20N6O5S
ahdt_c,-4,C9H12N5O13P3
ahgalac__L_c,-1,
ahmann_c,0,
ahop_c,0,
aiC11ACP_c,-1,C22H41N2O8PRS
aiC13ACP_c,-1,C24H45N2O8PRS
aiC15ACP_c,-1,C26H49N2O8PRS
aiC15_c,-1,C15H29O2
aiC15p_c,-1,C15H30O5P
aiC17ACP_c,-1,C28H53N2O8PRS
aiC17_c,-1,C17H33O2
aiC17p_c,-1,C17H34O5P
aiC7ACP_c,-1,C18H33N2O8PRS
aiC9ACP_c,-1,C20H37N2O8PRS
aic_c,0,C4H6N4O
aicar_c,-2,C9H13N4O8P
air_c,-2,C8H12N3O7P
akg_c,-2,C5H4O5
akg_e,-2,C5H4O5
ala_B_c,0,C3H7NO2
ala_B_e,0,C3H7NO2
ala__D_c,0,C3H7NO2
ala__D_e,0,C3H7NO2
ala__L_c,0,C3H7NO2
ala__L_e,0,C3H7NO2
alaala_c,0,C6H12N2O3
alaala_e,0,C6H12N2O3
alac__S_c,-1,C5H7O4
alalac_c,-1,C6H10NO4
alatrna_c,1,C3H6NOR
albflol__R_c,0,C15H24O
albflol__S_c,0,C15H24O
albflon_c,0,C15H22O
allglutADP_c,-1,C20H21N7O9PR2
allphn_c,-1,
alltn_c,0,C4H6N4O3
alltn_e,0,C4H6N4O3
alltt_c,-1,C4H7N4O4
alpam_c,0,C9H19N2OS2R
amet_c,1,C15H23N6O5S
ametam_c,2,C14H24N6O3S
amob_c,0,C15H19N5O6S
amp_c,-2,C10H12N5O7P
amp_e,-2,C10H12N5O7P
amuco_c,-1,
amucsam_c,-1,
anhgm3p_c,-2,C34H52N6O19
anhgm4p_c,-2,C37H57N7O20
anhm3p_c,-2,C26H39N5O14
anhm4p_c,-2,C29H44N6O15
anhm_c,-1,C11H16NO7
anth_c,-1,C7H6NO2
anth_e,-1,C7H6NO2
anthrancoa_c,-4,
ap4a_c,-4,
apoACP_c,0,RHO
apoACPact_c,0,RHO
apoACPcda_c,0,RHO
apoACPcpk_c,-1,RHO
apoACPredL_c,0,RHO
apoACPredN_c,0,RHO
apoACPredQ_c,0,RHO
apoPCPredO_c,0,RHO
appl_c,1,C3H10NO
applp_c,-1,C3H9NO4P
aprut_c,1,
aps_c,-2,C10H12N5O10PS
arab__D_c,0,C5H10O5
arab__D_e,0,C5H10O5
arab__L_c,0,C5H10O5
arab__L_e,0,C5H10O5
arabat__L_c,-1,
arabinofur__L_c,0,
arb14lac__L_c,0,
arg__D_c,1,
arg__L_c,1,C6H15N4O2
arg__L_e,1,C6H15N4O2
argsuc_c,-1,C10H17N4O6
argtrna_c,2,C6H14N4OR
asc6p_c,0,C6H909P
asc6p_e,0,C6H909P
ascb__L_c,-1,
ascb__L_e,0,C6H8O6
asn__L_c,0,C4H8N2O3
asn__L_e,0,C4H8N2O3
asntrna_c,1,C14H24N2O12PR2
aso3_c,-3,AsO3
aso3_e,-3,AsO3
aso4_c,-3,AsO4
asp__L_c,-1,C4H6NO4
asp__L_e,-1,C4H6NO4
aspsa_c,0,C4H7NO3
asptrna_c,0,C4H5NO3R
at44dcop_c,0,
athr__L_c,0,C4H9NO3
atp_c,-4,C10H12N5O13P3
atphyflu_c,0,
b2coa_c,-4,C25H36N7O17P3S
betahyd_c,1,
betald_c,1,C5H12NO
betalm_c,-2,
bfrn_c,0,C15H24
bgalac__D_c,-1,
bglycogen_c,0,C6H10O5
bhb_c,-1,C4H7O3
bhb_e,-1,C4H7O3
bmmcoa_c,-5,
bmoco1gdp_c,-4,C30H32N15O20P3S4Mo
bmoco_c,-4,C20H20N10O13P2S4Mo
bmocogdp_c,-4,C40H44N20O27P4S4Mo
btal_c,0,
btamp_c,-1,C20H27N7O9PS
btcoa_c,-4,C25H38N7O17P3S
btnCCP_c,0,C17H27N5O4S1R2
btn_c,-1,C10H15N2O3S
btn_e,-1,C10H15N2O3S
but2eACP_c,-1,C15H25N2O8PRS
but2eACPcda_c,-1,C15H25N2O8PRS
but2eACPredQ_c,-1,C15H25N2O8PRS
butACP_c,-1,C15H27N2O8PRS
butACPcda_c,-1,C15H27N2O8PRS
butACPredQ_c,-1,C15H27N2O8PRS
butanoate_c,-1,
bwco1gdp_c,-4,C30H32N15O20P3S4W
bwco_c,-4,C20H20N10O13P2S4W
bwcogdp_c,-4,C40H44N20O27P4S4W
bz_c,-1,
bzal_c,0,
bzalc_c,0,
bzamid_c,0,
bzsucc_c,-2,
bzsuccoa__R_c,-5,
bzsuccoa_c,-5,
ca2_c,2,Ca
ca2_e,2,Ca
cacodylate_c,-1,
caffcoa_c,-4,
cala_c,-1,
camp_c,-1,C10H11N5O6P
carb_c,0,R
carnitine_c,0,C7H16NO3
caro_c,0,
catechol_c,0,C6H6O2
catechol_e,0,C6H6O2
cbasp_c,-2,C5H6N2O5
cbi_c,0,C48H72CoN11O8
cbi_e,0,C48H72CoN11O8
cbl1_c,-1,C62H88CoN13O14P
cbl1_e,-1,C62H88CoN13O14P
cbm_c,-1,
cbp_c,-2,CH2NO5P
cbtnCCP_c,-1,C18H26N5O6S1R2
cd2_c,2,Cd
cd2_e,2,Cd
cda_c,-6,C67H75N14O29P
cda_e,-6,C67H75N14O29P
cdaint1_c,-4,C67H76N14O25
cdaint2_c,-4,C67H76N14O26
cddec5eACP_c,-1,C23H41N2O8PRS
cdec3eACP_c,-1,C21H37N2O8PRS
cdhxfut_c,-1,C14H13O7
cdp4dh36ddglc_c,-2,
cdp4dh6doglc_c,-2,
cdp_c,-3,C9H12N3O11P2
cdpdaiC15g_c,-2,C42H75N3O15P2
cdpdaiC17g_c,-2,C46H83N3O15P2
cdpdddecg_c,-2,C36H63N3O15P2
cdpdhdec9eg_c,-2,C44H75N3O15P2
cdpdhdecg_c,-2,C44H79N3O15P2
cdpdhepdecg_c,-2,C46H83N3O15P2
cdpdiC14g_c,-2,C40H71N3O15P2
cdpdiC15g_c,-2,C42H75N3O15P2
cdpdiC16g_c,-2,C44H79N3O15P2
cdpdiC17g_c,-2,C46H83N3O15P2
cdpdiC18g_c,-2,C48H87N3O15P2
cdpdodec11eg_c,-2,C48H83N3O15P2
cdpdodecg_c,-2,C48H87N3O15P2
cdpdptdecg_c,-2,C42H75N3O15P2
cdpdtdec7eg_c,-2,C40H67N3O15P2
cdpdtdecg_c,-2,C40H71N3O15P2
cdpglc_c,-2,C15H23N3O16P2
cdpglyc_c,-2,C12H19N3O13P2
cechddd_c,-1,
cellb_c,0,C12H22O11
cellb_e,0,C12H22O11
cellul_e,0,C3000H5002O2501
cellwall_c,0,R
cepspoc_c,-1,
cgly_c,0,C5H10N2O3S
ch15deccoa_c,-4,
chdpro__D_c,0,
chiralc_c,-1,C27H35O12N2PRS
chitin_e,0,C8H13NO5
chlld_c,-2,C35H32N4O5MG1
chlorac_c,-1,
chol4e3o_c,0,
chol_c,1,C5H14NO
chol_e,1,C5H14NO
cholate_c,-1,
chor_c,-2,C10H8O6
chsterol_c,0,
chtbs_c,0,C16H28N2O11
chtbs_e,0,C16H28N2O11
cigam_c,0,C15H28N2O11S
cinnm_c,-1,
cit_c,-3,C6H5O7
cit_e,-3,C6H5O7
citac_c,-1,C5H5O4
citm__R_c,-1,C5H7O5
citr__L_c,0,C6H13N3O3
citr__L_e,0,C6H13N3O3
cl_c,-1,Cl
cl_e,-1,Cl
clpn120_c,-2,C57H108O17P2
clpn140_c,-2,C65H124O17P2
clpn141_c,-2,C65H116O17P2
clpn150_c,-2,C69H132O17P2
clpn160_c,-2,C73H140O17P2
clpn161_c,-2,C73H132O17P2
clpn170_c,-2,C77H148O17P2
clpn180_c,-2,C81H156O17P2
clpn181_c,-2,C81H148O17P2
clpnai150_c,-2,C69H132O17P2
clpnai170_c,-2,C77H148O17P2
clpni140_c,-2,C65H124O17P2
clpni150_c,-2,C69H132O17P2
clpni160_c,-2,C73H140O17P2
clpni170_c,-2,C77H148O17P2
clpni180_c,-2,C81H156O17P2
cmp_c,-2,C9H12N3O8P
cmp_e,-2,C9H12N3O8P
cmpacna_c,-2,
cmpglna_c,-2,
co1dam_c,-5,C45H56CoN6O12
co2_c,0,CO2
co2_e,0,CO2
