ID,Charge,Formula
10fthf_c,-2,C20H21N7O7
12da3oaglcpyr_c,0,C33H62O10
12dgr120_c,0,C27H52O5
12dgr140_c,0,C31H60O5
12dgr141_c,0,C31H56O5
12dgr150_c,0,C33H64O5
12dgr160_c,0,C35H68O5
12dgr161_c,0,C35H64O5
12dgr170_c,0,C37H72O5
12dgr180_c,0,C39H76O5
12dgr181_c,0,C39H72O5
12dgrai150_c,0,C33H64O5
12dgrai170_c,0,C37H72O5
12dgri140_c,0,C31H60O5
12dgri150_c,0,C33H64O5
12dgri160_c,0,C35H68O5
12dgri170_c,0,C37H72O5
12dgri180_c,0,C39H76O5
13dpg_c,-4,C3H4O10P2
14glucan_c,0,C36H62O31
14glucan_e,0,C36H62O31
14hdphet_c,0,C8H10O2
15cphyt_c,0,C40H64
15dap_c,2,C5H16N2
15dap_e,2,C5H16N2
1Dgali_c,0,C12H22O11
1Dgali_e,0,C12H22O11
1acpc_c,0,
1aiC15g3p_c,-2,C18H35O7P1
1aiC17g3p_c,-2,C20H39O7P1
1ddecg3p_c,-2,C15H29O7P1
1hdec9eg3p_c,-2,C19H35O7P1
1hdecg3p_c,-2,C19H37O7P1
1hepdecg3p_c,-2,C20H39O7P1
1iC14g3p_c,-2,C17H33O7P1
1iC15g3p_c,-2,C18H35O7P1
1iC16g3p_c,-2,C19H37O7P1
1iC17g3p_c,-2,C20H39O7P1
1iC18g3p_c,-2,C21H41O7P1
1odec11eg3p_c,-2,C21H39O7P1
1odecg3p_c,-2,C21H41O7P1
1p3h5c_c,-1,C5H6NO3
1p4h2cbxl_c,-1,
1ptdecg3p_c,-2,C18H35O7P1
1pyr5c_c,-1,C5H6NO2
1tdec7eg3p_c,-2,C17H31O7P1
1tdecg3p_c,-2,C17H33O7P1
23btd_c,0,
23camp_e,-1,C10H11N5O6P
23ccmp_e,-1,C9H11N3O7P
23cgmp_e,-1,C10H11N5O7P
23cump_e,-1,C9H10N2O8P
23dahxoc_c,1,
23ddhb_c,-1,
23dhacoa_c,-5,C27H37N7O19P3S
23dhb_c,-1,
23dhba_c,-1,
23dhdp_c,-2,C7H7NO5
23dhmb_c,-1,C5H9O4
23dhmp_c,-1,C6H11O4
24dab_c,0,C4H10N2O2
24dclphen_c,0,
24ddhrham_c,-1,
24dh5m6o24d_c,-1,
24dtcho_c,0,
25aics_c,-4,C13H15N4O12P
25dc25chx_c,0,
25dclpql_c,0,
25dop_c,-1,C5H5O4
25drapp_c,-2,C9H14N5O8P
26dap_LL_c,0,C7H14N2O4
26dap_LL_e,0,C7H14N2O4
26dap__M_c,0,C7H14N2O4
26dap__M_e,0,C7H14N2O4
26hxcho_c,0,
2a5farapp_c,-2,C10H14N5O9P
2a5ocyc1eccoa_c,-4,
2ahbut_c,-1,C6H9O4
2amac_c,-1,
2aobut_c,0,C4H7NO3
2chloacr_c,-1,
2clprop_c,-1,
2cm3hppc_c,-5,
2cpr5p_c,-3,C12H13NO9P
2dda7p_c,-3,C7H10O10P
2ddara__L_c,-1,
2ddara_c,-1,
2ddg6p_c,-3,C6H8O9P
2ddglcn_c,-1,C6H9O6
2ddglcn_e,-1,C6H9O6
2dg25hbz_c,-1,
2dglcn_c,-1,C6H11O6
2dh3dgal6p_c,-3,
2dh3dgal_c,-1,C6H9O6
2dh3dglc_c,-2,C6H6O7
2dh3dogal_c,-1,
2dh3dorham_c,-1,
2dhglcn_c,-1,
2dhp_c,-1,C6H9O4
2dmmq9_c,-1,C55H77O2
2dmmql9_c,0,C55H80O2
2dr1p_c,-2,C5H9O7P
2dr5p_c,-2,C5H9O7P
2fe1s_c,2,SFe2
2fe2s_c,2,S2Fe2
2h3oppan_c,-1,C3H3O4
2h4oxbut_c,-3,
2hdhepdd_c,-2,
2hmc_c,-2,
2hmcnsad_c,-1,
2hxmp_e,0,C7H8O2
2hymeph_c,0,C7H8O2
2improp_c,-1,
2ins_c,0,C6H10O6
2ippm_c,-2,C7H8O4
2kmb_c,-1,
2maacoa_c,-4,C26H38N7O18P3S
2mahmp_c,-3,C6H8N3O7P2
2mb2coa_c,-4,C26H38N7O17P3S
2mbACP_c,-1,C16H29N2O8PRS
2mbcoa_c,-4,C26H40N7O17P3S
2mborn_c,0,
2me4p_c,-2,C5H11O7P
2mecdp_c,-2,C5H10O9P2
2mfumcoa_c,-5,
2mop_c,0,
2mp2coa_c,-4,C25H36N7O17P3S
2mygydpp_c,-3,
2o3pop3odn_c,0,C13H23O8P
2o3pp8m3onn_c,0,C13H23O8P
2obut_c,-1,C4H5O3
2ohed_c,-2,
2oph_c,0,
2oxalc_c,-2,
2oxoadp_c,-2,C6H6O5
2oxpaccoa_c,-4,C29H38N7O18P3S
2p4c2me_c,-4,C14H22N3O17P3
2pg_c,-3,C3H4O7P
2pglyc_c,-3,
2plac__L_c,-3,C3H4O6P
2ppoh_c,0,
2pyr46dcox_c,-2,
2sephchc_c,-3,C14H13O9
2shchc_c,-2,C11H10O6
33biflav_c,-2,
34dhbz_c,-1,C7H5O4
34dhcinm_c,-1,
34hpp_c,-1,C9H7O4
35cgmp_c,-1,C10H11N5O7P
36ahgalfur_c,0,
36ahgalpyr_c,0,
38biflav_c,-2,
3aib_c,0,
3ambutcoa_c,-3,
3amp_e,-2,C10H12N5O7P
3c2hmp_c,-2,C7H10O5
3c3hmp_c,-2,C7H10O5
3c4mop_c,-2,C7H8O5
3choptpp_c,-3,C16H21N4O10P2S
3clbxal_c,0,
3clbzal_c,0,
3clbzat_c,-1,
3cmp_e,-2,C9H12N3O8P
3dclcatc_c,0,
3dhq_c,-1,C7H9O6
3dhsk_c,-1,C7H7O5
3dm4hdppyr_c,-1,
3dma4hbz_c,-1,
3dma4hma_c,-1,
3fe4s_c,0,S4Fe3
3gmp_e,-2,C10H12N5O8P
3h4oxbut_c,-1,
3haACP_c,-1,C15H27N2O9PRS
3haACPcda_c,-1,C15H27N2O9PRS
3haACPredQ_c,-1,C15H27N2O9PRS
3hadpcoa_c,-5,C27H39N7O20P3S
3haiC11ACP_c,-1,C22H41N2O9PRS
3haiC13ACP_c,-1,C24H45N2O9PRS
3haiC15ACP_c,-1,C26H49N2O9PRS
3haiC17ACP_c,-1,C28H53N2O9PRS
3haiC7ACP_c,-1,C18H33N2O9PRS
3haiC9ACP_c,-1,C20H37N2O9PRS
3hanthrn_c,0,C7H7NO3
