metabolite;pubchem_substance;pubchem_compound
3odcoa_c;7652;11966155
accoa_c;3326;444493
accys_c;9028;12035
accys_e;9028;12035
ade_c;3447;190
akg_c;3328;51
ala__L_c;3343;5950
amet_c;3321;34755
cellb_e;3485;439178
co2_c;3313;280
coa_c;3312;87642
cys__L_c;3397;5862
dad_5_c;7603;439182
dhap_c;3411;668
fum_c;3422;444972
glu__L_c;3327;33032
glyclt_c;3460;757
h2o_c;3303;962
h_c;3380;1038
h_e;3380;1038
malcoa_c;3383;644066
met__L_c;3373;6137
nadp_c;3308;5886
pan4p_c;4365;115254
pyr_c;3324;1060
succ_c;3344;1110
