prots_M145_21,Usages_M145_21,prots_M145_29,Usages_M145_29,prots_M145_33,Usages_M145_33,prots_M145_37,Usages_M145_37,prots_M145_41,Usages_M145_41,prots_M145_45,Usages_M145_45,prots_M145_49,Usages_M145_49,prots_M145_53,Usages_M145_53,prots_M145_57,Usages_M145_57,prots_M1152_33,Usages_M1152_33,prots_M1152_41,Usages_M1152_41,prots_M1152_45,Usages_M1152_45,prots_M1152_49,Usages_M1152_49,prots_M1152_53,Usages_M1152_53,prots_M1152_57,Usages_M1152_57,prots_M1152_61,Usages_M1152_61,prots_M1152_65,Usages_M1152_65
Q9Z4Y3,0.115703,Q9K4I9,0.115153,Q9K4I9,0.119803,Q9Z4Y3,0.092036,Q9Z4Y3,0.084121,Q9K451,0.168365,Q9K451,0.170307,Q9K451,0.172204,Q9K451,0.174058,Q9K4I9,0.073373,Q7AKF3,0.133392,Q9K4I9,0.128126,Q9K4I9,0.131157,Q9K4I9,0.146357,Q7AKF3,0.143814,Q7AKF3,0.146437,Q7AKF3,0.149158
Q9X7W2,0.091452,Q9FC66,0.111461,Q9FC66,0.115961,Q9K4I9,0.088634,Q9XAC2,0.080168,Q9XAC2,0.100982,Q9XAC6,0.102005,Q9XAC6,0.103151,Q9XAC6,0.104271,Q9FC66,0.07102,Q9K4I9,0.114813,Q9FC66,0.124018,Q9FC66,0.126951,Q9FC66,0.141664,Q9XAC2,0.091776,Q9XAC2,0.090954,Q9XAC2,0.090101
Q9L1U5,0.056122,Q9K4D8,0.072974,Q9K4D8,0.076691,Q9FC66,0.08607,Q9K4I9,0.074169,Q9XAC6,0.100832,Q9XAC2,0.101401,Q9XAC2,0.10181,Q9XAC2,0.10221,Q9K4D8,0.070779,Q9FC66,0.111131,Q7AKF3,0.090869,Q7AKF3,0.102068,Q7AKF3,0.118695,Q9K451,0.089747,Q9K451,0.085279,Q9K4I9,0.083353
Q9X8I0,0.050802,Q9K4D6,0.069556,Q9K4D6,0.073099,Q9XAC2,0.074834,Q9FC66,0.072221,Q9X814,0.093066,Q9X814,0.094149,Q9X814,0.095207,Q9X814,0.09624,Q9K4D6,0.067463,Q9K4D8,0.069237,Q9K4D8,0.080986,Q9K4D8,0.083029,Q9K4D8,0.094095,Q9K4I9,0.077517,Q9K4I9,0.080381,Q9FC66,0.081163
Q9EWS0,0.047461,Q9XAC2,0.064951,Q9XAC2,0.067573,Q9K4D8,0.072465,Q9K451,0.071749,Q9Z4Y3,0.074604,Q9Z4Y3,0.073733,Q9Z4Y3,0.072882,Q9Z4Y3,0.07205,Q9Z4Y3,0.065,Q9K4D6,0.065994,Q9K4D6,0.077193,Q9K4D6,0.07914,Q9K4D6,0.089688,Q9FC66,0.075569,Q9FC66,0.078315,Q9K451,0.080646
Q8CK34,0.043901,Q9Z4Y3,0.048812,Q7AKF3,0.063052,Q9K4D6,0.069071,Q9K4D8,0.070374,Q9K4D8,0.062495,Q9K4D8,0.062327,Q9K4D8,0.062164,Q9K4D8,0.062004,Q9X7W2,0.051377,Q9XAC2,0.064759,Q9XAC2,0.072268,Q9XAC2,0.073977,Q9XAC2,0.08255,Q9K4D8,0.074165,Q9K4D8,0.074639,Q9K4D8,0.075131
Q9FBR4,0.040465,Q9K4D7,0.048176,Q9K4D7,0.05063,Q9K4D7,0.047841,Q9K4D6,0.067078,Q9X809,0.0597,Q9X809,0.060395,Q9X809,0.061073,Q9X809,0.061736,Q9K4D7,0.046727,Q9K4D7,0.04571,Q9K4D7,0.053466,Q9K4D7,0.054814,Q9K4D7,0.06212,Q9K4D6,0.070691,Q9K4D6,0.071143,Q9K4D6,0.071612
Q9F2Q3,0.031878,Q9X7W2,0.038582,P0A302,0.037728,Q9K451,0.047008,Q9K4D7,0.04646,Q9K4D6,0.059568,Q9K4D6,0.059408,Q9K4D6,0.059252,Q9K4D6,0.0591,Q9XAC2,0.041386,P0A302,0.034061,P0A302,0.039841,P0A302,0.040846,P0A302,0.04629,Q9XAC6,0.053231,Q9XAC6,0.05053,Q9K4D7,0.049601
Q9RDF9,0.024024,P0A302,0.035899,Q9Z4Y3,0.034511,P0A302,0.035649,Q9XAC6,0.042464,Q9K4D7,0.041258,Q9K4D7,0.041148,Q9K4D7,0.04104,Q9K4D7,0.040934,P0A302,0.034819,Q9Z4Y3,0.030899,P0A2Z6,0.034433,P0A2Z6,0.035302,P0A2Z6,0.040007,Q9X814,0.049131,Q9K4D7,0.049276,Q9XAC6,0.047729
Q9ADG3,0.02243,P0A2Z6,0.031027,P0A2Z6,0.032607,Q7AKF3,0.03213,Q9X814,0.039193,P0A302,0.030744,P0A302,0.030662,P0A302,0.030581,P0A302,0.030503,Q9L1U5,0.031529,P0A2Z6,0.029438,Q9K4J0,0.030732,Q9K4J0,0.031459,Q9K4J0,0.035105,Q9K4D7,0.048962,Q9X814,0.046639,Q9X814,0.044053
