Avg F516-518;M145 in F134 medium;;;;
SYS-F-u08-17;;;;;
Online data;;;;;
;;;;;
Time;TAI;pH     ;DO;Agitation;CO2
;[h];;[%];[rpm];[mmol/l/t]
21.02.2017 15:19:30 ;0,09;6,933333333;96,23333333;308;
21.02.2017 15:24:40 ;0,173333333;6,936666667;95,9;309;0,390607975
21.02.2017 15:34:53 ;0,346666667;6,93;95,76666667;307,3333333;0,420620791
21.02.2017 15:40:04 ;0,433333333;6,936666667;95,93333333;307,3333333;0,550382084
21.02.2017 15:45:08 ;0,516666667;6,933333333;96,16666667;307,3333333;0,591429024
21.02.2017 15:50:11 ;0,603333333;6,936666667;96,26666667;307;0,582601725
21.02.2017 15:55:18 ;0,686666667;6,936666667;96;307,6666667;0,593635849
21.02.2017 16:00:22 ;0,773333333;6,936666667;95,9;306,6666667;0,626691134
21.02.2017 16:05:29 ;0,856666667;6,936666667;95,83333333;307,3333333;0,590842277
21.02.2017 16:10:32 ;0,943333333;6,936666667;95,9;308,3333333;0,588629384
21.02.2017 16:15:39 ;1,026666667;6,933333333;95,1;308;0,595268061
21.02.2017 16:20:41 ;1,113333333;6,933333333;95,56666667;307,6666667;0,593055169
21.02.2017 16:25:49 ;1,196666667;6,936666667;95,66666667;307,3333333;0,593055169
21.02.2017 16:30:51 ;1,283333333;6,933333333;95,83333333;306,3333333;0,67758766
21.02.2017 16:39:01 ;1,416666667;6,936666667;95,7;308;0,667850933
21.02.2017 16:44:04 ;1,503333333;6,936666667;95,6;307;0,716977145
21.02.2017 16:49:08 ;1,586666667;6,936666667;95,73333333;309;0,716977145
21.02.2017 16:54:14 ;1,673333333;6,936666667;95,63333333;307,6666667;0,755924051
21.02.2017 16:59:17 ;1,753333333;6,936666667;95,36666667;308,3333333;0,673604453
21.02.2017 17:04:25 ;1,843333333;6,933333333;95,33333333;308,3333333;0,675374767
21.02.2017 17:09:29 ;1,923333333;6,936666667;95,46666667;307,3333333;0,673161875
21.02.2017 17:14:35 ;2,013333333;6,933333333;95,3;306,6666667;0,636427861
21.02.2017 17:19:37 ;2,093333333;6,936666667;95,6;307,3333333;0,675374767
